method,seed,epoch,run,checkpoint,checkpoint_sha256,class_macro_mAP_percent,patch_macro_mAP_percent,class_val_loss,patch_val_loss,classification_images,cam_images,fixed_mean_iou_percent,fixed_semantic_foreground_precision_percent,fixed_semantic_foreground_recall_percent,fixed_threshold,best_mean_iou_percent,best_semantic_foreground_precision_percent,best_semantic_foreground_recall_percent,best_threshold,evaluation_seconds,evaluation_finished_utc,scope
all_product,0,1,all_product_s0,/home/peng/code/TGCA/results/voc_epoch_checkpoints/20260916-gwrp-all-product-s0-s11-r2/all_product_s0/epoch_checkpoints/mctformerplus_epoch_001.pth,298bf1a6db40f54912634b9a2626bddd21fc801dec098418be5398f05ca02283,7.887346877679634,8.337057034607806,0.6333895518583952,0.5197630201108379,1449,1464,18.897416838667933,29.044337564201438,24.62015415560861,0.45,21.137643945690147,24.626968356794663,43.32799392408191,0.26,144.7675495147705,2026-09-16T13:46:33.383511+00:00,full
gwrp,0,1,gwrp_s0,/home/peng/code/TGCA/results/voc_epoch_checkpoints/20260916-gwrp-all-product-s0-s11-r2/gwrp_s0/epoch_checkpoints/mctformerplus_epoch_001.pth,d6e463f1d07692171d7d403e03147dbf7edbaa963dcf50a2fcfaecc8b8d26dd3,7.778885343765903,9.100503173500643,0.6166151103436988,0.3769868520969683,1449,1464,14.068806249230468,35.09803575798396,13.456960010788832,0.45,20.75342963465601,25.84092910162597,43.41340551460778,0.13,144.39979910850525,2026-09-16T13:44:07.799791+00:00,full
all_product,11,1,all_product_s11,/home/peng/code/TGCA/results/voc_epoch_checkpoints/20260916-gwrp-all-product-s0-s11-r2/all_product_s11/epoch_checkpoints/mctformerplus_epoch_001.pth,ba7e0220b1e94a66d97706694c31f5622be91104cc68e086faf86e9302c10b7c,7.945615472096959,8.162720665394172,0.6322083370368015,0.5239741536071993,1449,1464,17.078199213170414,27.251487864169437,26.471379440900154,0.45,19.320019312763254,23.4988143572719,49.89072994586359,0.23,144.4482171535492,2026-09-16T13:51:23.836849+00:00,full
gwrp,11,1,gwrp_s11,/home/peng/code/TGCA/results/voc_epoch_checkpoints/20260916-gwrp-all-product-s0-s11-r2/gwrp_s11/epoch_checkpoints/mctformerplus_epoch_001.pth,f7e8c9c5a97c496093e6248aa6ea6e9a4369b06066e819191d176b12e45d5b7b,7.839274332160293,9.049364062390676,0.61895239493039,0.36428388940868417,1449,1464,10.068425879235415,25.83128376747642,10.279894786497266,0.45,18.357713016722013,21.277957513477606,60.88120415156476,0.05,144.36562752723694,2026-09-16T13:48:58.671735+00:00,full
all_product,0,2,all_product_s0,/home/peng/code/TGCA/results/voc_epoch_checkpoints/20260916-gwrp-all-product-s0-s11-r2/all_product_s0/epoch_checkpoints/mctformerplus_epoch_002.pth,e64fee49028e8e4378c4527673b94cee64c5d2f98c42acdff39f7b8cd5d0e6d2,7.503594308383688,9.910576418713008,0.5403074608168329,0.27382642368023113,1449,1464,9.067507838989759,22.591883106991034,10.654964324839513,0.45,17.352319758268063,20.0054486536625,74.63019835173539,0.0,144.5138921737671,2026-09-16T13:56:14.316998+00:00,full
gwrp,0,2,gwrp_s0,/home/peng/code/TGCA/results/voc_epoch_checkpoints/20260916-gwrp-all-product-s0-s11-r2/gwrp_s0/epoch_checkpoints/mctformerplus_epoch_002.pth,8c3039bf07dce7b31368dabb24965d41ce12ec01d6e094f4124ec5c82d1db7e1,8.013911301914609,11.955020211660363,0.4645958181246961,0.24642450956330783,1449,1464,4.345668428166538,18.738981288680062,4.49935668288899,0.45,11.434267121358198,18.092626577190952,43.13487097893151,0.0,144.08158588409424,2026-09-16T13:53:48.805276+00:00,full
all_product,11,2,all_product_s11,/home/peng/code/TGCA/results/voc_epoch_checkpoints/20260916-gwrp-all-product-s0-s11-r2/all_product_s11/epoch_checkpoints/mctformerplus_epoch_002.pth,6858762aeced04802d592da7510919a8aa029b7b0047d638841760da21d04113,7.538448440491205,9.712268992733277,0.5353310198270509,0.27089200217695875,1449,1464,7.74108968674202,18.98364161830008,11.709192743850673,0.45,17.408307983267697,20.531836959643933,76.85394752638472,0.0,144.62226557731628,2026-09-16T14:01:04.433994+00:00,full
gwrp,11,2,gwrp_s11,/home/peng/code/TGCA/results/voc_epoch_checkpoints/20260916-gwrp-all-product-s0-s11-r2/gwrp_s11/epoch_checkpoints/mctformerplus_epoch_002.pth,c5860cadeae2697282498bd2cf26eabe975f45beac0e3930b01543eafb1057f8,7.96584512714172,11.075664413544164,0.46196976106606163,0.24693259329447012,1449,1464,4.138748108014305,19.668659860707535,2.8619356609680784,0.45,11.286652252215339,17.90203446403172,37.91309602086628,0.0,143.93429231643677,2026-09-16T13:58:39.133269+00:00,full
all_product,0,3,all_product_s0,/home/peng/code/TGCA/results/voc_epoch_checkpoints/20260916-gwrp-all-product-s0-s11-r2/all_product_s0/epoch_checkpoints/mctformerplus_epoch_003.pth,1512591b8af1d3f542e67a4e9ac260269a3a84e0b667d599d5ca33e8aa02a923,9.797084435686946,38.6018139293464,0.2648114994363673,0.1883290774292416,1449,1464,20.466523059209084,51.1310336855971,31.01902026335079,0.45,24.74502202462997,37.38736732507774,50.30600803260403,0.2,144.22889876365662,2026-09-16T14:05:54.671035+00:00,full
gwrp,0,3,gwrp_s0,/home/peng/code/TGCA/results/voc_epoch_checkpoints/20260916-gwrp-all-product-s0-s11-r2/gwrp_s0/epoch_checkpoints/mctformerplus_epoch_003.pth,60d4f6b3d5a24bf64b77263950988ae82a43fd62c1a3603a67dc63e47698b6cd,9.616093047448535,31.011738348707613,0.26403119506056016,0.2099185628344718,1449,1464,6.88115351425277,32.774295750745466,14.656657975511461,0.45,16.333333821740894,20.141182461689446,61.647199460159065,0.0,144.13033747673035,2026-09-16T14:03:29.543659+00:00,full
