selection,threshold,class_id,class_name,iou_percent,precision_percent,recall_percent
fixed_0.45,0.45,0,background,84.92190091558145,95.59440634864436,88.38089698921617
fixed_0.45,0.45,1,aeroplane,42.613733801044944,43.32429075200653,96.29390423345203
fixed_0.45,0.45,2,bicycle,39.122057650245054,41.89006294441417,85.55038763778977
fixed_0.45,0.45,3,bird,56.918848428195034,58.67385021775854,95.00731773858358
fixed_0.45,0.45,4,boat,43.01723098800865,44.43574072859874,93.09174118051061
fixed_0.45,0.45,5,bottle,62.66035067025989,75.57437015811028,78.57276563321834
fixed_0.45,0.45,6,bus,74.61248296132423,81.97448953890587,89.25649884747814
fixed_0.45,0.45,7,car,69.1344164464164,73.15734618619688,92.6319744279203
fixed_0.45,0.45,8,cat,86.0022894812154,94.70914133444617,90.3427685832612
fixed_0.45,0.45,9,chair,36.69977064203467,43.395913812159456,70.40031232840899
fixed_0.45,0.45,10,cow,78.31953764918931,83.07093510536657,93.19402695391632
fixed_0.45,0.45,11,diningtable,51.01775482941859,72.92419156005901,62.939994653469086
fixed_0.45,0.45,12,dog,82.14271291760876,91.47901489268735,88.94845994810989
fixed_0.45,0.45,13,horse,72.94587917274286,87.16794836166451,81.72146641976163
fixed_0.45,0.45,14,motorbike,76.73252575966426,80.38498326512145,94.40955106570875
fixed_0.45,0.45,15,person,55.504861374745275,70.80024250120611,71.98286774604524
fixed_0.45,0.45,16,pottedplant,43.25400677159596,48.00856502307095,81.36942179436521
fixed_0.45,0.45,17,sheep,81.26029146908992,84.32165657732325,95.72323874909458
fixed_0.45,0.45,18,sofa,55.07740701097589,69.96033433638544,72.13731466083684
fixed_0.45,0.45,19,train,65.07062168333988,69.91762440129045,90.37201090898687
fixed_0.45,0.45,20,tvmonitor,49.29306346999891,51.24803221225643,92.81702341400498
oracle,0.54,0,background,87.75628697572148,92.80246182829505,94.16533894683701
oracle,0.54,1,aeroplane,55.68428264119078,58.269681532533255,92.61998899235081
oracle,0.54,2,bicycle,42.746694172637135,48.27859859478425,78.8611796479281
oracle,0.54,3,bird,70.91896317546555,76.91104321457388,90.10172261402973
oracle,0.54,4,boat,57.62410585322236,62.27656327309978,88.52343719044285
oracle,0.54,5,bottle,61.471132494448554,83.36650715001623,70.06444826145245
oracle,0.54,6,bus,75.30010285594548,88.34481997499576,83.60566794846538
oracle,0.54,7,car,73.56413502922231,82.24814504821396,87.44888402571974
oracle,0.54,8,cat,80.46305922241027,97.82175112163205,81.93102866117292
oracle,0.54,9,chair,40.08559603876895,52.75842676914158,62.53009778437666
oracle,0.54,10,cow,82.38185546804108,92.69213550140205,88.1042250445795
oracle,0.54,11,diningtable,44.44435959370411,76.15008088303603,51.63134249971611
oracle,0.54,12,dog,79.65730752409348,95.74695249275032,82.57925118142875
oracle,0.54,13,horse,70.40171781410892,93.02684373590442,74.32394857731114
oracle,0.54,14,motorbike,77.52964635034436,85.80929752956396,88.93202720587293
oracle,0.54,15,person,50.571965055102474,78.0665489070435,58.947604643037884
oracle,0.54,16,pottedplant,47.76971304538799,57.58331212955756,73.70487445669744
oracle,0.54,17,sheep,85.97999036083284,93.80237525788253,91.15851535376717
oracle,0.54,18,sofa,54.421915837317556,77.686752804572,64.50471440210463
oracle,0.54,19,train,68.90347398881232,81.7083850518133,81.47030875163583
oracle,0.54,20,tvmonitor,56.63156610580757,62.301721789479025,86.15434386087387
