threshold,mean_iou_percent,foreground_mean_iou_percent,semantic_foreground_precision_percent,semantic_foreground_recall_percent,binary_foreground_precision_percent,binary_foreground_recall_percent,background_false_positive_rate_percent,pixel_accuracy_percent
0.0,23.284626858475686,24.436224896194954,24.81070422686059,92.92435125315433,26.678599409712234,99.92024086951868,99.74726069656819,24.944830723862978
0.01,23.29084150126349,24.4412945414099,24.81604519267921,92.92420604679515,26.684113935904,99.9192289627031,99.71813663190406,24.96615607324945
0.02,23.31080891555654,24.45774776062725,24.8327848763375,92.92391260894428,26.700852011892668,99.91419211711884,99.62785203144526,25.032306409119876
0.03,23.354017049675445,24.493552531013098,24.86828277746516,92.92348909039666,26.736724303221926,99.90515755895828,99.43649852067497,25.172561467617367
0.04,23.436234680613598,24.561820130537168,24.93541489652151,92.92289465186374,26.80546505619556,99.89171689533617,99.07511068806528,25.437500138034018
0.05,23.565718823207142,24.670177975772507,25.039181326259218,92.9220657655634,26.90999906989643,99.86479472880345,98.52273909559115,25.84247301251524
0.06,23.741581470997954,24.817134029412845,25.181700202313,92.9209948686644,27.056124082794607,99.83765777786444,97.76815441373607,26.395715382087275
0.07,23.97014317680869,25.008267948333753,25.367570528452642,92.91958364436107,27.25158955751302,99.82060964375631,96.790262161029,27.11267496648373
0.08,24.26746350079707,25.25838214215423,25.607412583603196,92.91754924276623,27.504924090377315,99.80274774901027,95.54772165892409,28.023601971691654
0.09,24.640976327460066,25.57463658276936,25.906798737318486,92.91394630997894,27.82149777227449,99.78095620716876,94.02748064550421,29.137819034102325
0.1,25.08989561070689,25.957941668489443,26.262455768956844,92.90742563691177,28.19776650481513,99.75388127144564,92.26411604983251,30.429602657565574
0.11,25.61164756752385,26.406202838803296,26.676365738651064,92.89821864619967,28.63568304323681,99.72137773548172,90.26962032773787,31.89021740442875
0.12,26.20930644280103,26.922526678594533,27.154355291098515,92.8888377103698,29.142720097604496,99.69057886167198,88.0416733334916,33.52203463871253
0.13,26.886470424522376,27.510328717519872,27.70433971368906,92.87761446885774,29.72638751230321,99.65644326673348,85.57271412806509,35.330156178421305
0.14,27.64162026650223,28.169139464799496,28.328792228043365,92.86383196526506,30.389028520555367,99.61743569593105,82.88501402270695,37.29805380978007
0.15,28.47273311585223,28.899268011692524,29.023531391910762,92.84572352222165,31.127402530636278,99.57596717985368,80.02724992753184,39.38954972278819
0.16,29.38815621570963,29.708567195676554,29.801681938920765,92.81946990996767,31.954174777816185,99.52356280985015,76.98029533691529,41.61765659615053
0.17,30.3924699020677,30.60290808889355,30.668366965456386,92.78139559253626,32.87327921805455,99.45194431088065,73.76417009225132,43.96670948287193
0.18,31.48285479620468,31.581052704364552,31.625803730814045,92.73354253435345,33.888143071764546,99.36719976206729,70.41325388549278,46.412033139320506
0.19,32.64295773423524,32.62973461773211,32.663090477651735,92.67458875252416,34.98423737466632,99.26035057020042,67.00417031223387,48.89706787367752
0.2,33.845947169825855,33.72557536693076,33.757002551178374,92.60113399813746,36.13761603492344,99.13155706730164,63.63225796785594,51.35097180544904
0.21,35.10856517855585,34.885098266821345,34.91813062894996,92.50726111205655,37.362017649340096,98.98175704444073,60.275715833495816,53.788160522611875
0.22,36.42545445834778,36.10192619803106,36.15975381981195,92.39528129549846,38.67234915284044,98.81545643645111,56.91941598761932,56.220346967472764
0.23,37.770108498710606,37.35208002713374,37.45852839655955,92.26461069789397,40.04457068601031,98.63432662902967,53.64049022728852,58.59079532889327
0.24,39.130306068157104,38.62466479619049,38.80042438427599,92.11016407153913,41.46249871980154,98.42978834645457,50.47601253634677,60.87095493217036
0.25,40.49671307566922,39.91096469090206,40.1744271903949,91.93065119742987,42.915073298446934,98.20203822233717,47.44734001280745,63.04481544299313
0.26,41.86959288819389,41.210757706199516,41.58606531176673,91.74177856341814,44.407215350465535,97.96543353544193,44.54690457535101,65.12211339830505
0.27,43.23515597180905,42.51069502808253,43.021478778252096,91.55072178375364,45.923500407951224,97.72629227495968,41.79889386681536,67.08701780726723
0.28,44.581685675759545,43.79775263119548,44.48228465375531,91.34519428285657,47.46476662068094,97.46977616606114,39.18583125077408,68.94907498183714
0.29,45.91367254269257,45.075762221941,45.97430646108787,91.12746642265544,49.03826840130229,97.2006649180695,36.69087465587687,70.72124440220662
0.3,47.227790896212824,46.34132357982133,47.49022643202669,90.88608202643702,50.63773329776639,96.90973338947776,34.313736742266734,72.40068438113742
0.31,48.525373899852575,47.59494406419498,49.04345255492783,90.62827721110071,52.27221599252274,96.59476718330838,32.03566460107402,74.00307921053859
0.32,49.797150086816266,48.82742256735112,50.62322860934805,90.33794465874064,53.92900655318126,96.23715719709193,29.86260721121181,75.519773250527
0.33,51.04611605898178,50.04239775861004,52.2127642208009,90.02262148693822,55.5955328287158,95.85502094926933,27.808746415373477,76.94237161453731
0.34,52.24275225967182,51.20957377443338,53.78762830488959,89.66008809760567,57.25017415228872,95.43190171913287,25.88397044060721,78.25770041624935
0.35,53.379862504481245,52.32214012287424,55.326088102794515,89.27319634151974,58.86656213759376,94.98604256812149,24.108262318038534,79.45718985883516
0.36,54.47263625593587,53.39438803426984,56.84624710393557,88.85318089731086,60.46471290339809,94.50900186404127,22.445839719663105,80.56475267390638
0.37,55.53125868085078,54.43652082003656,58.350854093640756,88.41354141868459,62.04445790273804,94.0101106280361,20.889427947495307,81.58932218146339
0.38,56.537471240539425,55.42970705441708,59.82587350190638,87.94669692363841,63.58781023350548,93.47691136454091,19.442721763558644,82.526168147055
0.39,57.49774865364897,56.379807848231124,61.27833204677204,87.4504088141349,65.10605821135873,92.91296314192195,18.087757207424474,83.38787161599623
0.4,58.387652329787166,57.26207534920047,62.67758623709948,86.9150738071067,66.56608059595261,92.30725296537477,16.84030335858703,84.16030636797969
0.41,59.2394882315169,58.10845087202578,64.0622168311235,86.35555740357538,68.00799571426053,91.67444818974333,15.664248244846565,84.87392331247344
0.42,60.05986267858228,58.925386583771875,65.43604993992483,85.76360099186229,69.43956216063201,91.01079462561619,14.548736682848368,85.53448481568545
0.43,60.83798640409547,59.70182977797317,66.79367658128038,85.14110738029925,70.84792698832847,90.30901229167293,13.497494750814509,86.13976460044877
0.44,61.551824079210405,60.4154455127507,68.0998422215764,84.48130178469052,72.19970243957896,89.56738593779569,12.526903018221706,86.67594153186795
0.45,62.20579733774739,61.06999215885569,69.36921318205819,83.78044514128707,73.5139662615241,88.78625740395503,11.619103010783832,87.15511948071673
0.46,62.79349512053398,61.65877959770507,70.59786849982493,83.03567567475996,74.78329856244133,87.95848737749102,10.773112388798582,87.57725653301517
0.47,63.30217775632233,62.16840779188326,71.77660345469806,82.25411605954048,75.99748918850202,87.09114105531776,9.99105131384941,87.94269525494573
0.48,63.75770775095566,62.62511981195564,72.91838947830682,81.45440564942281,77.17378658634473,86.20795060176465,9.261709685664536,88.26462525057104
0.49,64.13810793908469,63.00642803284531,74.01270177374226,80.60920480959159,78.29477749383695,85.2729275282473,8.586623096787562,88.53463551256421
0.5,64.44506609564759,63.31372695817271,75.06708551609896,79.7175228091586,79.36863306467792,84.28555302454484,7.958148197141007,88.75806886431444
0.51,64.68195693250578,63.550102287242915,76.08452060190511,78.79188672173608,80.40106072352548,83.26202516253773,7.372207288027697,88.94125431679737
0.52,64.84299861472171,63.70961696466837,77.06381769065167,77.8188513460032,81.38783102858892,82.18522925520315,6.82670383236485,89.08214735443231
0.53,64.94476979373377,63.80912371385155,78.01663228284643,76.80304664722524,82.34482827072931,81.06391549824832,6.313104440747387,89.18824131019619
0.54,64.96704140964692,63.82757913134321,78.92741970645486,75.73628359177066,83.2598337112823,79.89353257985249,5.834661053162988,89.2549687693293
0.55,64.89618536123152,63.75076528131027,79.80295921171647,74.60602754319598,84.13376545846302,78.65480284326757,5.387764065671958,89.28163774814305
0.56,64.73111123556711,63.577215031215296,80.64680177779526,73.40829440202108,84.97740101465618,77.35019782173218,4.966870511128543,89.27125275356713
