relation,scope,stratum,aggregation,metric,estimate,ci_low,ci_high,num_images,num_images_total,num_rows,num_rows_total,num_classes,bootstrap_repeats,bootstrap_valid_repeats,bootstrap_valid_fraction,bootstrap_seed,bootstrap_base_seed,class_id,class_name,comparison,family
,,all,micro,auc_target_bg,-0.0006344073840444257,-0.0032579540065474383,0.001987687266791088,1424,1449,2004,2147,,5000,5000,1.0,3021694564,20260901,,,s_pos_minus_s_last,semantic
,,all,micro,auc_target_other,-0.0183018631702142,-0.02410085007997997,-0.013107419315812085,462,1449,1052,2147,,5000,5000,1.0,3021694564,20260901,,,s_pos_minus_s_last,semantic
,,all,micro,target_tail_enrich_10,-0.07171006579169377,-0.098079711645271,-0.04542228306965202,1441,1449,2031,2147,,5000,5000,1.0,3021694564,20260901,,,s_pos_minus_s_last,semantic
,,all,micro,bg_tail_enrich_10,-0.012548199546569343,-0.022717508898335632,-0.003459409690137919,1432,1449,2120,2147,,5000,5000,1.0,3021694564,20260901,,,s_pos_minus_s_last,semantic
,,all,macro_class,auc_target_bg,-0.004623509048163628,-0.007597530040113465,-0.0017239442181546224,1424,1449,2004,2147,20,5000,5000,1.0,3021694564,20260901,,,s_pos_minus_s_last,semantic
,,all,macro_class,auc_target_other,-0.03151411634083058,-0.04036074600397557,-0.023773539239348565,462,1449,1052,2147,20,5000,5000,1.0,3021694564,20260901,,,s_pos_minus_s_last,semantic
,,all,macro_class,target_tail_enrich_10,-0.10374151360842628,-0.1363825704275519,-0.07278694640197388,1441,1449,2031,2147,20,5000,5000,1.0,3021694564,20260901,,,s_pos_minus_s_last,semantic
,,all,macro_class,bg_tail_enrich_10,-0.009651632402457092,-0.018335379149625738,-0.0015628639449353254,1432,1449,2120,2147,20,5000,5000,1.0,3021694564,20260901,,,s_pos_minus_s_last,semantic
,,single_label,micro,auc_target_bg,0.0003287614165165281,-0.0019582107487514135,0.002641726855913311,912,927,912,927,,5000,5000,1.0,3021694564,20260901,,,s_pos_minus_s_last,semantic
,,single_label,micro,target_tail_enrich_10,-0.055575221639055886,-0.07426080155496058,-0.03880239568751327,921,927,921,927,,5000,5000,1.0,3021694564,20260901,,,s_pos_minus_s_last,semantic
,,single_label,micro,bg_tail_enrich_10,0.009292470414884232,0.0033423248737558075,0.015203866347501014,918,927,918,927,,5000,5000,1.0,3021694564,20260901,,,s_pos_minus_s_last,semantic
,,single_label,macro_class,auc_target_bg,0.00038354497603324087,-0.0036534014451420327,0.00554427465526252,912,927,912,927,20,5000,5000,1.0,3021694564,20260901,,,s_pos_minus_s_last,semantic
,,single_label,macro_class,target_tail_enrich_10,-0.04594791401273704,-0.0666504383386488,-0.02541531216915,921,927,921,927,20,5000,5000,1.0,3021694564,20260901,,,s_pos_minus_s_last,semantic
,,single_label,macro_class,bg_tail_enrich_10,0.008322225418791126,-0.004675310007639578,0.018148808897526604,918,927,918,927,20,5000,5000,1.0,3021694564,20260901,,,s_pos_minus_s_last,semantic
,,exactly_2_labels,micro,auc_target_bg,0.0017336248039653119,-0.003293449830295842,0.006627378209228762,367,375,683,750,,5000,5000,1.0,3021694564,20260901,,,s_pos_minus_s_last,semantic
,,exactly_2_labels,micro,auc_target_other,-0.011944885701416368,-0.018027417373757394,-0.006470446873604563,322,375,644,750,,5000,5000,1.0,3021694564,20260901,,,s_pos_minus_s_last,semantic
,,exactly_2_labels,micro,target_tail_enrich_10,-0.0539019441889773,-0.10040194591173242,-0.011773365479037946,373,375,695,750,,5000,5000,1.0,3021694564,20260901,,,s_pos_minus_s_last,semantic
,,exactly_2_labels,micro,bg_tail_enrich_10,-0.024864226448883357,-0.05023391599263952,-0.0035224135896122027,369,375,738,750,,5000,5000,1.0,3021694564,20260901,,,s_pos_minus_s_last,semantic
,,exactly_2_labels,macro_class,auc_target_bg,-0.008356919330293712,-0.01607514728031422,-0.0016388926072233528,367,375,683,750,20,5000,5000,1.0,3021694564,20260901,,,s_pos_minus_s_last,semantic
,,exactly_2_labels,macro_class,auc_target_other,-0.030432107886486027,-0.041695685503922095,-0.021272226728767777,322,375,644,750,20,5000,5000,1.0,3021694564,20260901,,,s_pos_minus_s_last,semantic
,,exactly_2_labels,macro_class,target_tail_enrich_10,-0.13366479799905145,-0.22960481101064506,-0.05999420008278138,373,375,695,750,20,5000,5000,1.0,3021694564,20260901,,,s_pos_minus_s_last,semantic
,,exactly_2_labels,macro_class,bg_tail_enrich_10,-0.016486039357795367,-0.036783897421809555,0.0019403210779795042,369,375,738,750,20,5000,5000,1.0,3021694564,20260901,,,s_pos_minus_s_last,semantic
,,3plus_labels,micro,auc_target_bg,-0.00673654902346311,-0.015238768647530598,0.0012789108397135423,145,147,409,470,,5000,5000,1.0,3021694564,20260901,,,s_pos_minus_s_last,semantic
,,3plus_labels,micro,auc_target_other,-0.028335915841551984,-0.03981732975902316,-0.01807156876076608,140,147,408,470,,5000,5000,1.0,3021694564,20260901,,,s_pos_minus_s_last,semantic
,,3plus_labels,micro,target_tail_enrich_10,-0.13734099586029022,-0.24049495104926996,-0.04277613680420615,147,147,415,470,,5000,5000,1.0,3021694564,20260901,,,s_pos_minus_s_last,semantic
,,3plus_labels,micro,bg_tail_enrich_10,-0.0361699822420578,-0.057630817236570535,-0.015253408822605377,145,147,464,470,,5000,5000,1.0,3021694564,20260901,,,s_pos_minus_s_last,semantic
,,3plus_labels,macro_class,auc_target_bg,-0.011574365475265415,-0.018690692699954145,-0.003650133042344765,145,147,409,470,19,5000,5000,1.0,3021694564,20260901,,,s_pos_minus_s_last,semantic
,,3plus_labels,macro_class,auc_target_other,-0.02830168826187036,-0.03913372391514029,-0.01992518667796965,140,147,408,470,19,5000,5000,1.0,3021694564,20260901,,,s_pos_minus_s_last,semantic
,,3plus_labels,macro_class,target_tail_enrich_10,-0.13242380949947932,-0.2168331446141016,-0.052226537339068374,147,147,415,470,19,5000,5000,1.0,3021694564,20260901,,,s_pos_minus_s_last,semantic
,,3plus_labels,macro_class,bg_tail_enrich_10,-0.02668410701458592,-0.051265397183935794,-0.003308367181682236,145,147,464,470,20,5000,5000,1.0,3021694564,20260901,,,s_pos_minus_s_last,semantic
,,all,micro,top10_jaccard,0.06281938318646971,0.05165938947057927,0.07463503454322816,522,522,906,906,,5000,5000,1.0,3021694564,20260901,,,s_pos_minus_s_last,multilabel
,,all,macro_class,top10_jaccard,0.05376560982813902,0.04191940954011698,0.06646779512023769,522,522,906,906,17,5000,5000,1.0,3021694564,20260901,,,s_pos_minus_s_last,multilabel
,,exactly_2_labels,micro,top10_jaccard,0.05337851434431441,0.040816319797484374,0.06686226162655186,375,375,375,375,,5000,5000,1.0,3021694564,20260901,,,s_pos_minus_s_last,multilabel
,,exactly_2_labels,macro_class,top10_jaccard,0.046772215113429154,0.03480267224637376,0.0598311285773538,375,375,375,375,17,5000,5000,1.0,3021694564,20260901,,,s_pos_minus_s_last,multilabel
,,3plus_labels,micro,top10_jaccard,0.0694866634422291,0.05263642258971102,0.08770207332540786,147,147,531,531,,5000,5000,1.0,3021694564,20260901,,,s_pos_minus_s_last,multilabel
,,3plus_labels,macro_class,top10_jaccard,0.056930336243354585,0.03728411724235765,0.07853072820823756,147,147,531,531,17,5000,5000,1.0,3021694564,20260901,,,s_pos_minus_s_last,multilabel
