relation,scope,stratum,aggregation,metric,estimate,ci_low,ci_high,num_images,num_images_total,num_rows,num_rows_total,num_classes,bootstrap_repeats,bootstrap_valid_repeats,bootstrap_valid_fraction,bootstrap_seed,bootstrap_base_seed,class_id,class_name,presence
s_last,all_rows,all,micro,max_score,10878.683172864981,10650.525099365592,11098.538521071638,1449,1449,26833,26833,,5000,5000,1.0,3021694564,20260901,,,absent
s_last,all_rows,all,micro,top10_mean_score,4070.3694178592546,3937.03680489626,4202.455116298325,1449,1449,26833,26833,,5000,5000,1.0,3021694564,20260901,,,absent
s_last,all_rows,all,micro,spatial_entropy,0.0004778885885325323,0.00037706791676353333,0.0005902140568852469,1449,1449,26833,26833,,5000,5000,1.0,3021694564,20260901,,,absent
s_last,all_rows,all,micro,foreground_mass,0.38332056278858734,0.3591787401695531,0.4085574118593289,1449,1449,26833,26833,,5000,5000,1.0,3021694564,20260901,,,absent
s_last,all_rows,all,micro,background_mass,0.5772107738904361,0.5514419533580127,0.6021207816948954,1449,1449,26833,26833,,5000,5000,1.0,3021694564,20260901,,,absent
s_last,all_rows,all,macro_class,max_score,10839.971486120136,10610.965928493495,11060.874874395076,1449,1449,26833,26833,20,5000,5000,1.0,3021694564,20260901,,,absent
s_last,all_rows,all,macro_class,top10_mean_score,4060.5717079575056,3927.32301383788,4192.72439341794,1449,1449,26833,26833,20,5000,5000,1.0,3021694564,20260901,,,absent
s_last,all_rows,all,macro_class,spatial_entropy,0.0005109316840164422,0.0004039862380290478,0.0006294292420599277,1449,1449,26833,26833,20,5000,5000,1.0,3021694564,20260901,,,absent
s_last,all_rows,all,macro_class,foreground_mass,0.38321523556802095,0.3591452015581867,0.4083973919563899,1449,1449,26833,26833,20,5000,5000,1.0,3021694564,20260901,,,absent
s_last,all_rows,all,macro_class,background_mass,0.5773996233773876,0.551615877288492,0.6023556104701258,1449,1449,26833,26833,20,5000,5000,1.0,3021694564,20260901,,,absent
s_last,per_class,all,micro,max_score,11374.827651056847,11137.31560057078,11608.559663836302,1359,1359,1359,1359,,5000,5000,1.0,3021694564,20260901,0,aeroplane,absent
s_last,per_class,all,micro,top10_mean_score,4231.698230614031,4091.170398676347,4372.440946615579,1359,1359,1359,1359,,5000,5000,1.0,3021694564,20260901,0,aeroplane,absent
s_last,per_class,all,micro,spatial_entropy,0.00019939501555265237,5.152907623406341e-05,0.0004033354115314352,1359,1359,1359,1359,,5000,5000,1.0,3021694564,20260901,0,aeroplane,absent
s_last,per_class,all,micro,foreground_mass,0.38266185147917403,0.3568637291307241,0.4076802473464603,1359,1359,1359,1359,,5000,5000,1.0,3021694564,20260901,0,aeroplane,absent
s_last,per_class,all,micro,background_mass,0.5798104740204367,0.5547913143678495,0.6062730967439046,1359,1359,1359,1359,,5000,5000,1.0,3021694564,20260901,0,aeroplane,absent
s_last,per_class,all,micro,max_score,11369.358793189056,11124.112386395671,11612.787210599801,1370,1370,1370,1370,,5000,5000,1.0,3021694564,20260901,1,bicycle,absent
s_last,per_class,all,micro,top10_mean_score,4312.811849709322,4172.523278663879,4457.502682260629,1370,1370,1370,1370,,5000,5000,1.0,3021694564,20260901,1,bicycle,absent
s_last,per_class,all,micro,spatial_entropy,0.00034264642768896855,0.0001248888922044911,0.0006146881560969705,1370,1370,1370,1370,,5000,5000,1.0,3021694564,20260901,1,bicycle,absent
s_last,per_class,all,micro,foreground_mass,0.39622721740443145,0.3699731521991807,0.42271528382894585,1370,1370,1370,1370,,5000,5000,1.0,3021694564,20260901,1,bicycle,absent
s_last,per_class,all,micro,background_mass,0.5679911271920838,0.541344089501255,0.5934009581881944,1370,1370,1370,1370,,5000,5000,1.0,3021694564,20260901,1,bicycle,absent
s_last,per_class,all,micro,max_score,10506.724439159014,10299.236845825897,10708.090171583835,1346,1346,1346,1346,,5000,5000,1.0,3021694564,20260901,2,bird,absent
