relation,scope,stratum,class_id,class_name,aggregation,metric,estimate,ci_low,ci_high,num_images,num_images_total,num_rows,num_rows_total,num_classes,bootstrap_repeats,bootstrap_valid_repeats,bootstrap_valid_fraction,bootstrap_seed,bootstrap_base_seed
patch_norm,all_positive_classes,all,,,micro,target_hit,0.27852817885421516,0.2612196289359314,0.2963162014458225,1449,1449,2147,2147,,5000,5000,1.0,3021694564,20260901
patch_norm,all_positive_classes,all,,,micro,other_fg_hit,0.1560316721006055,0.13856220449285694,0.17375814081444768,1449,1449,2147,2147,,5000,5000,1.0,3021694564,20260901
patch_norm,all_positive_classes,all,,,micro,background_hit,0.5640428504890544,0.5349380608352984,0.5927643025071866,1449,1449,2147,2147,,5000,5000,1.0,3021694564,20260901
patch_norm,all_positive_classes,all,,,micro,target_top05_fraction,0.27036759610295397,0.2593805130197073,0.2815531619894204,1449,1449,2147,2147,,5000,5000,1.0,3021694564,20260901
patch_norm,all_positive_classes,all,,,micro,other_fg_top05_fraction,0.15631938055245784,0.14448672003666788,0.16846204806543486,1449,1449,2147,2147,,5000,5000,1.0,3021694564,20260901
patch_norm,all_positive_classes,all,,,micro,bg_top05_fraction,0.5728338879446339,0.556375399581049,0.5895768253350848,1449,1449,2147,2147,,5000,5000,1.0,3021694564,20260901
patch_norm,all_positive_classes,all,,,micro,target_tail_enrich_05,1.770230337901577,1.646252617883784,1.9002461469500707,1441,1449,2031,2147,,5000,5000,1.0,3021694564,20260901
patch_norm,all_positive_classes,all,,,micro,other_fg_tail_enrich_05,1.7400201257764236,1.5778390556462656,1.91380567182367,520,1449,1158,2147,,5000,5000,1.0,3021694564,20260901
patch_norm,all_positive_classes,all,,,micro,bg_tail_enrich_05,0.9911955012211814,0.9578854887947095,1.025222217246092,1432,1449,2120,2147,,5000,5000,1.0,3021694564,20260901
patch_norm,all_positive_classes,all,,,micro,target_top10_fraction,0.30400746818993823,0.2928855818461997,0.314937893801226,1449,1449,2147,2147,,5000,5000,1.0,3021694564,20260901
patch_norm,all_positive_classes,all,,,micro,other_fg_top10_fraction,0.17165123072796432,0.15955824168835037,0.18423352522013667,1449,1449,2147,2147,,5000,5000,1.0,3021694564,20260901
patch_norm,all_positive_classes,all,,,micro,bg_top10_fraction,0.5237583679606803,0.5081527478734078,0.5394132302176254,1449,1449,2147,2147,,5000,5000,1.0,3021694564,20260901
patch_norm,all_positive_classes,all,,,micro,target_tail_enrich_10,1.893349417995439,1.8011032313785464,1.9925190668521158,1441,1449,2031,2147,,5000,5000,1.0,3021694564,20260901
patch_norm,all_positive_classes,all,,,micro,other_fg_tail_enrich_10,1.846495786584407,1.7185422987390386,1.9911675947757905,520,1449,1158,2147,,5000,5000,1.0,3021694564,20260901
patch_norm,all_positive_classes,all,,,micro,bg_tail_enrich_10,0.8880931930632565,0.862789548231832,0.9135321922974848,1432,1449,2120,2147,,5000,5000,1.0,3021694564,20260901
patch_norm,all_positive_classes,all,,,micro,target_top20_fraction,0.34201278069225394,0.3304267616984234,0.3536889909344205,1449,1449,2147,2147,,5000,5000,1.0,3021694564,20260901
patch_norm,all_positive_classes,all,,,micro,other_fg_top20_fraction,0.1881394618838987,0.17533193642267506,0.20114766021499222,1449,1449,2147,2147,,5000,5000,1.0,3021694564,20260901
patch_norm,all_positive_classes,all,,,micro,bg_top20_fraction,0.4692176504289952,0.45443487549678113,0.4837745818291888,1449,1449,2147,2147,,5000,5000,1.0,3021694564,20260901
patch_norm,all_positive_classes,all,,,micro,target_tail_enrich_20,1.8742763329086582,1.816730943896432,1.9354310532952819,1441,1449,2031,2147,,5000,5000,1.0,3021694564,20260901
patch_norm,all_positive_classes,all,,,micro,other_fg_tail_enrich_20,1.8288047061483597,1.7417704898651671,1.9232924905475197,520,1449,1158,2147,,5000,5000,1.0,3021694564,20260901
patch_norm,all_positive_classes,all,,,micro,bg_tail_enrich_20,0.7690725893675504,0.7496142118917581,0.7884612151898409,1432,1449,2120,2147,,5000,5000,1.0,3021694564,20260901
patch_norm,all_positive_classes,all,,,micro,auc_target_bg,0.7507862066084865,0.7436896600398999,0.7579856739552763,1424,1449,2004,2147,,5000,5000,1.0,3021694564,20260901
patch_norm,all_positive_classes,all,,,micro,ap_target_bg,0.4311272482901466,0.4187151361261639,0.4431479575558545,1424,1449,2004,2147,,5000,5000,1.0,3021694564,20260901
patch_norm,all_positive_classes,all,,,micro,auc_target_other,0.5031954558773406,0.49959925176092956,0.5069260182497803,462,1449,1052,2147,,5000,5000,1.0,3021694564,20260901
patch_norm,all_positive_classes,all,,,micro,ap_target_other,0.4857088741666027,0.47533906049027463,0.4966313006105548,462,1449,1052,2147,,5000,5000,1.0,3021694564,20260901
patch_norm,all_positive_classes,all,,,micro,target_mean,104.19938590205022,103.08369792359115,105.3612010426862,1441,1449,2031,2147,,5000,5000,1.0,3021694564,20260901
patch_norm,all_positive_classes,all,,,micro,other_fg_mean,96.72062993857482,95.36700807475285,98.1263749038458,520,1449,1158,2147,,5000,5000,1.0,3021694564,20260901
patch_norm,all_positive_classes,all,,,micro,bg_mean,87.03085270227504,85.95337726958019,88.13005177974412,1432,1449,2120,2147,,5000,5000,1.0,3021694564,20260901
patch_norm,all_positive_classes,all,,,micro,target_median,98.38442173689707,97.29634902065732,99.50815347318488,1441,1449,2031,2147,,5000,5000,1.0,3021694564,20260901
patch_norm,all_positive_classes,all,,,micro,other_fg_median,91.46894368318284,90.14915814206252,92.84363858155898,520,1449,1158,2147,,5000,5000,1.0,3021694564,20260901
patch_norm,all_positive_classes,all,,,micro,bg_median,75.9424684911404,75.10216601655245,76.80152272938648,1432,1449,2120,2147,,5000,5000,1.0,3021694564,20260901
patch_norm,all_positive_classes,all,,,micro,spatial_mass_target,0.26606374897607915,0.24865350667902883,0.2832716302774045,1449,1449,2147,2147,,5000,5000,1.0,3021694564,20260901
patch_norm,all_positive_classes,all,,,micro,spatial_mass_other_fg,0.14705476946051357,0.12993698873101342,0.16449764803604303,1449,1449,2147,2147,,5000,5000,1.0,3021694564,20260901
patch_norm,all_positive_classes,all,,,micro,spatial_mass_background,0.5407233082655797,0.5123410517636013,0.5694357937932355,1449,1449,2147,2147,,5000,5000,1.0,3021694564,20260901
patch_norm,all_positive_classes,all,,,macro_class,target_hit,0.28503865535000134,0.2652936132574631,0.305250734242393,1449,1449,2147,2147,20,5000,5000,1.0,3021694564,20260901
patch_norm,all_positive_classes,all,,,macro_class,other_fg_hit,0.1325740817165559,0.1159487447674927,0.15008898716372923,1449,1449,2147,2147,20,5000,5000,1.0,3021694564,20260901
patch_norm,all_positive_classes,all,,,macro_class,background_hit,0.5811637922717697,0.5542557871554424,0.6080164910638767,1449,1449,2147,2147,20,5000,5000,1.0,3021694564,20260901
patch_norm,all_positive_classes,all,,,macro_class,target_top05_fraction,0.2792891997852439,0.2676695052629631,0.2910105937679436,1449,1449,2147,2147,20,5000,5000,1.0,3021694564,20260901
patch_norm,all_positive_classes,all,,,macro_class,other_fg_top05_fraction,0.13668305654548138,0.126085727816788,0.14757018427905488,1449,1449,2147,2147,20,5000,5000,1.0,3021694564,20260901
patch_norm,all_positive_classes,all,,,macro_class,bg_top05_fraction,0.5835456631652554,0.5681048884505258,0.5991934504233661,1449,1449,2147,2147,20,5000,5000,1.0,3021694564,20260901
patch_norm,all_positive_classes,all,,,macro_class,target_tail_enrich_05,1.7914775843612958,1.657897401437171,1.9309923732355339,1441,1449,2031,2147,20,5000,5000,1.0,3021694564,20260901
patch_norm,all_positive_classes,all,,,macro_class,other_fg_tail_enrich_05,2.1158145125884382,1.745735489238619,2.5398154743789987,520,1449,1158,2147,20,5000,5000,1.0,3021694564,20260901
patch_norm,all_positive_classes,all,,,macro_class,bg_tail_enrich_05,0.9832307817278894,0.951825345272924,1.0158714558760775,1432,1449,2120,2147,20,5000,5000,1.0,3021694564,20260901
patch_norm,all_positive_classes,all,,,macro_class,target_top10_fraction,0.3130283922400598,0.3016211626919358,0.3247496828733338,1449,1449,2147,2147,20,5000,5000,1.0,3021694564,20260901
patch_norm,all_positive_classes,all,,,macro_class,other_fg_top10_fraction,0.15010869321720677,0.13951424724548417,0.16101312010622645,1449,1449,2147,2147,20,5000,5000,1.0,3021694564,20260901
patch_norm,all_positive_classes,all,,,macro_class,bg_top10_fraction,0.5362443862354593,0.5221314848875751,0.5506850277381713,1449,1449,2147,2147,20,5000,5000,1.0,3021694564,20260901
patch_norm,all_positive_classes,all,,,macro_class,target_tail_enrich_10,1.9187671295422408,1.8243569895270018,2.0204430090815917,1441,1449,2031,2147,20,5000,5000,1.0,3021694564,20260901
patch_norm,all_positive_classes,all,,,macro_class,other_fg_tail_enrich_10,2.0426201444051206,1.807992243150178,2.299426309652344,520,1449,1158,2147,20,5000,5000,1.0,3021694564,20260901
patch_norm,all_positive_classes,all,,,macro_class,bg_tail_enrich_10,0.885161015269351,0.8610154459490993,0.9095917296231074,1432,1449,2120,2147,20,5000,5000,1.0,3021694564,20260901
patch_norm,all_positive_classes,all,,,macro_class,target_top20_fraction,0.35180473028098425,0.34000084331443936,0.3636909368585391,1449,1449,2147,2147,20,5000,5000,1.0,3021694564,20260901
patch_norm,all_positive_classes,all,,,macro_class,other_fg_top20_fraction,0.16424848968770894,0.1532311364997581,0.1755431895127124,1449,1449,2147,2147,20,5000,5000,1.0,3021694564,20260901
patch_norm,all_positive_classes,all,,,macro_class,bg_top20_fraction,0.48327758550206684,0.4697787887363667,0.49703329013981923,1449,1449,2147,2147,20,5000,5000,1.0,3021694564,20260901
patch_norm,all_positive_classes,all,,,macro_class,target_tail_enrich_20,1.8980948861571356,1.8393261389468352,1.9585086039154416,1441,1449,2031,2147,20,5000,5000,1.0,3021694564,20260901
patch_norm,all_positive_classes,all,,,macro_class,other_fg_tail_enrich_20,1.8670592031179098,1.727615742253346,2.0082484760265453,520,1449,1158,2147,20,5000,5000,1.0,3021694564,20260901
patch_norm,all_positive_classes,all,,,macro_class,bg_tail_enrich_20,0.7702283446676677,0.7517127740951922,0.7890319983640423,1432,1449,2120,2147,20,5000,5000,1.0,3021694564,20260901
patch_norm,all_positive_classes,all,,,macro_class,auc_target_bg,0.7510223399526542,0.7438700014129909,0.7581044597428316,1424,1449,2004,2147,20,5000,5000,1.0,3021694564,20260901
patch_norm,all_positive_classes,all,,,macro_class,ap_target_bg,0.4257325303719256,0.41380428962371313,0.437239569187847,1424,1449,2004,2147,20,5000,5000,1.0,3021694564,20260901
patch_norm,all_positive_classes,all,,,macro_class,auc_target_other,0.517851712523286,0.4943058701837608,0.5432149320768632,462,1449,1052,2147,20,5000,5000,1.0,3021694564,20260901
patch_norm,all_positive_classes,all,,,macro_class,ap_target_other,0.5347893260575565,0.5080276578086276,0.5618632316532837,462,1449,1052,2147,20,5000,5000,1.0,3021694564,20260901
patch_norm,all_positive_classes,all,,,macro_class,target_mean,105.12777621662227,104.1579323461055,106.11475171521964,1441,1449,2031,2147,20,5000,5000,1.0,3021694564,20260901
patch_norm,all_positive_classes,all,,,macro_class,other_fg_mean,99.27458646898798,97.37246652383286,101.32716305186536,520,1449,1158,2147,20,5000,5000,1.0,3021694564,20260901
patch_norm,all_positive_classes,all,,,macro_class,bg_mean,87.55629589413725,86.62744092655896,88.49620855157595,1432,1449,2120,2147,20,5000,5000,1.0,3021694564,20260901
patch_norm,all_positive_classes,all,,,macro_class,target_median,99.33178665545032,98.4084535153066,100.30663494863742,1441,1449,2031,2147,20,5000,5000,1.0,3021694564,20260901
patch_norm,all_positive_classes,all,,,macro_class,other_fg_median,93.50554154845156,91.5175668814918,95.64201100667205,520,1449,1158,2147,20,5000,5000,1.0,3021694564,20260901
patch_norm,all_positive_classes,all,,,macro_class,bg_median,76.41345793995788,75.6926192922704,77.1557937170084,1432,1449,2120,2147,20,5000,5000,1.0,3021694564,20260901
patch_norm,all_positive_classes,all,,,macro_class,spatial_mass_target,0.27380669715410394,0.2543354687355927,0.2934559879734154,1449,1449,2147,2147,20,5000,5000,1.0,3021694564,20260901
patch_norm,all_positive_classes,all,,,macro_class,spatial_mass_other_fg,0.12425092976033884,0.10847473917191679,0.14092425677511752,1449,1449,2147,2147,20,5000,5000,1.0,3021694564,20260901
patch_norm,all_positive_classes,all,,,macro_class,spatial_mass_background,0.5578676443792541,0.5305484892357554,0.5849307194157201,1449,1449,2147,2147,20,5000,5000,1.0,3021694564,20260901
patch_norm,all_positive_classes,single_label,,,micro,target_hit,0.3818770226537217,0.34951456310679613,0.41316073354908306,927,927,927,927,,5000,5000,1.0,3021694564,20260901
patch_norm,all_positive_classes,single_label,,,micro,other_fg_hit,0.0,0.0,0.0,927,927,927,927,,5000,5000,1.0,3021694564,20260901
patch_norm,all_positive_classes,single_label,,,micro,background_hit,0.6170442286947141,0.5857605177993528,0.6494066882416397,927,927,927,927,,5000,5000,1.0,3021694564,20260901
patch_norm,all_positive_classes,single_label,,,micro,target_top05_fraction,0.3632099362232995,0.34463068595088586,0.38059464274142524,927,927,927,927,,5000,5000,1.0,3021694564,20260901
patch_norm,all_positive_classes,single_label,,,micro,other_fg_top05_fraction,0.0,0.0,0.0,927,927,927,927,,5000,5000,1.0,3021694564,20260901
patch_norm,all_positive_classes,single_label,,,micro,bg_top05_fraction,0.6363953677779052,0.6190288078166712,0.6550335789065813,927,927,927,927,,5000,5000,1.0,3021694564,20260901
patch_norm,all_positive_classes,single_label,,,micro,target_tail_enrich_05,1.6610293399270046,1.503523214693319,1.8296731060404994,921,927,921,927,,5000,5000,1.0,3021694564,20260901
patch_norm,all_positive_classes,single_label,,,micro,bg_tail_enrich_05,1.0692539961244192,1.0195759399608564,1.1243970559978291,918,927,918,927,,5000,5000,1.0,3021694564,20260901
patch_norm,all_positive_classes,single_label,,,micro,target_top10_fraction,0.4147514789414434,0.3973202625899774,0.43167781155945706,927,927,927,927,,5000,5000,1.0,3021694564,20260901
patch_norm,all_positive_classes,single_label,,,micro,other_fg_top10_fraction,0.0,0.0,0.0,927,927,927,927,,5000,5000,1.0,3021694564,20260901
patch_norm,all_positive_classes,single_label,,,micro,bg_top10_fraction,0.5847642757654146,0.5678225146293069,0.6021859573479148,927,927,927,927,,5000,5000,1.0,3021694564,20260901
patch_norm,all_positive_classes,single_label,,,micro,target_tail_enrich_10,1.86014447009477,1.734708962140744,1.9944168388439472,921,927,921,927,,5000,5000,1.0,3021694564,20260901
patch_norm,all_positive_classes,single_label,,,micro,bg_tail_enrich_10,0.9574602408036017,0.9210480849820146,0.9957035247325094,918,927,918,927,,5000,5000,1.0,3021694564,20260901
patch_norm,all_positive_classes,single_label,,,micro,target_top20_fraction,0.47378196838837117,0.4564587202523401,0.4906688134986668,927,927,927,927,,5000,5000,1.0,3021694564,20260901
patch_norm,all_positive_classes,single_label,,,micro,other_fg_top20_fraction,0.0,0.0,0.0,927,927,927,927,,5000,5000,1.0,3021694564,20260901
patch_norm,all_positive_classes,single_label,,,micro,bg_top20_fraction,0.5257094445952819,0.5088057691951893,0.5430178839487952,927,927,927,927,,5000,5000,1.0,3021694564,20260901
