relation,scope,stratum,aggregation,metric,estimate,ci_low,ci_high,num_images,num_images_total,num_rows,num_rows_total,num_classes,bootstrap_repeats,bootstrap_valid_repeats,bootstrap_valid_fraction,bootstrap_seed,bootstrap_base_seed,class_id,class_name,signal,region
,all_rows,all,micro,mean,0.4725395034972636,0.46769285332778276,0.4776111209980733,1432,1449,2120,2147,,5000,5000,1.0,3021694564,20260901,,,c_sign,background
,all_rows,all,micro,median,0.48041296795818883,0.47475248940360243,0.4862690957702296,1432,1449,2120,2147,,5000,5000,1.0,3021694564,20260901,,,c_sign,background
,all_rows,all,micro,q25,0.3809701022129717,0.3754879518617035,0.3866167858634036,1432,1449,2120,2147,,5000,5000,1.0,3021694564,20260901,,,c_sign,background
,all_rows,all,micro,q75,0.5721062326390859,0.5663868129913685,0.5780238225335343,1432,1449,2120,2147,,5000,5000,1.0,3021694564,20260901,,,c_sign,background
,all_rows,all,macro_class,mean,0.4629636335129056,0.4588026102092947,0.4672640621480358,1432,1449,2120,2147,20,5000,5000,1.0,3021694564,20260901,,,c_sign,background
,all_rows,all,macro_class,median,0.46998867855654736,0.46508361680093324,0.4749551111235046,1432,1449,2120,2147,20,5000,5000,1.0,3021694564,20260901,,,c_sign,background
,all_rows,all,macro_class,q25,0.3724923586087202,0.3679938983798688,0.37716132330705693,1432,1449,2120,2147,20,5000,5000,1.0,3021694564,20260901,,,c_sign,background
,all_rows,all,macro_class,q75,0.5604041568619043,0.5554829287915957,0.5655669919197776,1432,1449,2120,2147,20,5000,5000,1.0,3021694564,20260901,,,c_sign,background
,all_rows,single_label,micro,mean,0.4324169624672279,0.42613632842944626,0.4387009345234785,918,927,918,927,,5000,5000,1.0,3021694564,20260901,,,c_sign,background
,all_rows,single_label,micro,median,0.4382345790980883,0.43099018410941936,0.4455905543415572,918,927,918,927,,5000,5000,1.0,3021694564,20260901,,,c_sign,background
,all_rows,single_label,micro,q25,0.3351041361778845,0.3283617798494454,0.3419754529367148,918,927,918,927,,5000,5000,1.0,3021694564,20260901,,,c_sign,background
,all_rows,single_label,micro,q75,0.5350970325439617,0.5273054798182822,0.5426272577931617,918,927,918,927,,5000,5000,1.0,3021694564,20260901,,,c_sign,background
,all_rows,single_label,macro_class,mean,0.4401128308651927,0.4337851960903962,0.4461428424680816,918,927,918,927,20,5000,5000,1.0,3021694564,20260901,,,c_sign,background
,all_rows,single_label,macro_class,median,0.44442484960267786,0.4370699490912836,0.45162757523922936,918,927,918,927,20,5000,5000,1.0,3021694564,20260901,,,c_sign,background
,all_rows,single_label,macro_class,q25,0.3427370234594843,0.3359273570071214,0.3494038968212128,918,927,918,927,20,5000,5000,1.0,3021694564,20260901,,,c_sign,background
,all_rows,single_label,macro_class,q75,0.5424799739233102,0.5345892936748927,0.5501807755234578,918,927,918,927,20,5000,5000,1.0,3021694564,20260901,,,c_sign,background
,all_rows,exactly_2_labels,micro,mean,0.501838552153646,0.49361709068821497,0.5101712500155127,369,375,738,750,,5000,5000,1.0,3021694564,20260901,,,c_sign,background
,all_rows,exactly_2_labels,micro,median,0.5103031033220976,0.5003825011057524,0.5202119870585842,369,375,738,750,,5000,5000,1.0,3021694564,20260901,,,c_sign,background
,all_rows,exactly_2_labels,micro,q25,0.4109638933556755,0.40150004581377574,0.42044417611332136,369,375,738,750,,5000,5000,1.0,3021694564,20260901,,,c_sign,background
,all_rows,exactly_2_labels,micro,q75,0.6024890624107869,0.5928694325020396,0.6125204005264268,369,375,738,750,,5000,5000,1.0,3021694564,20260901,,,c_sign,background
,all_rows,exactly_2_labels,macro_class,mean,0.4873020418556295,0.4785565672476998,0.4964028959866322,369,375,738,750,20,5000,5000,1.0,3021694564,20260901,,,c_sign,background
,all_rows,exactly_2_labels,macro_class,median,0.49441482529592146,0.48397797177633556,0.5057087585709183,369,375,738,750,20,5000,5000,1.0,3021694564,20260901,,,c_sign,background
