family,selector,metric,contrast,estimate,ci_low,ci_high,n_clusters,n_rows,bootstrap_repeats,bootstrap_seed
paired_delta,S1,auc_target_other,minus_S0,-0.3685907575764787,-0.3826490745415348,-0.3541758362308559,1449,2147,10000,2027
paired_delta,S2,auc_target_other,minus_S0,-0.3689743409179863,-0.3830405620562029,-0.3546610872483811,1449,2147,10000,2027
paired_delta,S3,auc_target_other,minus_S0,-0.4212305054219453,-0.4326169126905442,-0.4096265293268568,1449,2147,10000,2027
paired_delta,S4,auc_target_other,minus_S0,-0.3246421669559777,-0.3387401588455779,-0.3102395701544309,1449,2147,10000,2027
paired_delta,S5,auc_target_other,minus_S0,-0.0221344495988591,-0.0256113230022772,-0.0186619957503929,1449,2147,10000,2027
paired_delta,S1,ap_target_other,minus_S0,-0.3569194399071572,-0.3716886374822301,-0.3419539422672586,1449,2147,10000,2027
paired_delta,S2,ap_target_other,minus_S0,-0.3571557891279485,-0.3720397210246221,-0.3421998110532245,1449,2147,10000,2027
paired_delta,S3,ap_target_other,minus_S0,-0.3825248736536096,-0.3960871756628138,-0.3685035395960758,1449,2147,10000,2027
paired_delta,S4,ap_target_other,minus_S0,-0.3129518204076708,-0.3278152523236401,-0.2980405257623564,1449,2147,10000,2027
paired_delta,S5,ap_target_other,minus_S0,-0.022892729913024,-0.0274507515562266,-0.0184792354493332,1449,2147,10000,2027
paired_delta,S1,target_top05_fraction,minus_S0,-0.42110736453415,-0.436142489569342,-0.4064253706722091,1449,2147,10000,2027
paired_delta,S2,target_top05_fraction,minus_S0,-0.3750028111769753,-0.3895683062622065,-0.3608744995543998,1449,2147,10000,2027
paired_delta,S3,target_top05_fraction,minus_S0,-0.3755210730054351,-0.390217074330329,-0.3613348845630129,1449,2147,10000,2027
paired_delta,S4,target_top05_fraction,minus_S0,-0.3578743436381951,-0.3727140988403821,-0.3433556237317627,1449,2147,10000,2027
paired_delta,S5,target_top05_fraction,minus_S0,-0.0097760348235905,-0.0123646891491566,-0.0072344980744717,1449,2147,10000,2027
paired_delta,S1,pair_jaccard_top05,minus_S0,0.4976172315316987,0.4670071163754702,0.5275434958782306,1449,1449,10000,2027
paired_delta,S2,pair_jaccard_top05,minus_S0,0.5704428013041166,0.5378571828544081,0.6021700420890596,1449,1449,10000,2027
paired_delta,S3,pair_jaccard_top05,minus_S0,0.8581540171573575,0.8392263157844368,0.8761750205053016,1449,1449,10000,2027
paired_delta,S4,pair_jaccard_top05,minus_S0,0.0058287627061206,-0.0015644208412815,0.0130655958519711,1449,1449,10000,2027
paired_delta,S5,pair_jaccard_top05,minus_S0,-0.0007983056423629,-0.002212635561076,0.0004992846247755,1449,1449,10000,2027
