layer,label_stratum,num_images,raw_pair_corr,residual_pair_corr,raw_pair_jaccard_top05,residual_pair_jaccard_top05,common_r2,common_fg_top05,common_bg_top05
1,3plus_labels,147,0.10809529745645792,0.12763582575855245,0.19241712213972428,0.26412427857302434,0.6889360960676112,0.3708948147699964,0.6291051852300037
1,exactly_2_labels,375,-0.29809181593571177,-0.22208340582050293,0.120770187457327,0.19878673622300824,0.7040304927890639,0.3598687267124527,0.6398389655952397
1,single_label,927,nan,nan,nan,nan,0.7426993254514052,0.29258073229297893,0.7071949228480314
2,3plus_labels,147,-0.06289128037838981,0.08407915561985255,0.10932397743972377,0.12724353078139883,0.27021114574266536,0.5253442409682537,0.4746557590317463
2,exactly_2_labels,375,-0.2652832618328216,-0.17684345121716186,0.08798491630663122,0.09909077589345046,0.26982965050846885,0.4923439647866435,0.5073746265635269
2,single_label,927,nan,nan,nan,nan,0.4989793828434774,0.42488749472256804,0.5747501563713937
3,3plus_labels,147,-0.11690814671366676,0.023541967466155292,0.042062259758709516,0.05212698615342308,0.2887971903289904,0.653163851160155,0.34683614883984504
3,exactly_2_labels,375,-0.22515506848445027,-0.0695931840648384,0.02943200651924413,0.04031587695525297,0.39238559661147704,0.646500120277321,0.35329646091926026
3,single_label,927,nan,nan,nan,nan,0.3541138677549137,0.5859086695868628,0.4136468562887108
4,3plus_labels,147,-0.14669910906242276,-0.016893496936547913,0.0921692708963117,0.08236357235491552,0.4441517655949758,0.38739198465457386,0.6124289963694147
4,exactly_2_labels,375,-0.27261816034876885,-0.04325973486929298,0.053339382387731255,0.06670109558920011,0.46279597919368265,0.37940792599970535,0.6204535224933222
4,single_label,927,nan,nan,nan,nan,0.4547223463452996,0.3054453676848918,0.6943331262683594
5,3plus_labels,147,-0.05894505021126947,0.28398290584566127,0.08844026738844823,0.09483665753033559,0.6855809917359245,0.32205845961927343,0.6775880926588578
5,exactly_2_labels,375,-0.05502062799650435,0.3087202575558477,0.05752629324389306,0.09350866672994641,0.7356850186836955,0.31577338970373914,0.6841582342278848
5,single_label,927,nan,nan,nan,nan,0.7991153248292187,0.26979977740555805,0.7300341127323687
6,3plus_labels,147,0.12480296243119725,0.5450385206851768,0.09748736644687526,0.1936022932378237,0.7998549495815667,0.2661836148595326,0.7334672981372451
6,exactly_2_labels,375,0.08844641321734827,0.5556765744809972,0.0748015193829004,0.22326386529763528,0.8460821712316656,0.24657579550634168,0.7534242044936583
6,single_label,927,nan,nan,nan,nan,0.8468021171420348,0.223603462196361,0.7763142486436799
7,3plus_labels,147,0.1460072047931891,0.5919272941288416,0.09467358807218973,0.19063591388819506,0.8078124904247765,0.24251158340688883,0.7573093976170996
7,exactly_2_labels,375,0.13581893666343636,0.6065456046830374,0.06758230538479813,0.22724066459378234,0.8587256125227732,0.23302817562180772,0.7669016489395957
7,single_label,927,nan,nan,nan,nan,0.8242250220267221,0.21672534195918491,0.783110079720897
8,3plus_labels,147,0.18923420633179794,0.5925644084491716,0.08995405105388508,0.17750356827522656,0.7801060114987327,0.22955594853933137,0.7704440514606686
8,exactly_2_labels,375,0.20330321564192194,0.6361724876761942,0.07452947976574512,0.23293104376486962,0.8337595833660353,0.21692283493518671,0.7830087889964372
8,single_label,927,nan,nan,nan,nan,0.7859925629308825,0.17809319468889234,0.8218514848674378
9,3plus_labels,147,0.23757588399715873,0.7221142553396744,0.17944707534878823,0.45538058671484416,0.7882219738062411,0.2337600349198409,0.7662399650801592
9,exactly_2_labels,375,0.4329542046682324,0.8792244908888106,0.29584462424531105,0.5839007798738866,0.8416018680810059,0.22332757549502907,0.7766724245049709
9,single_label,927,nan,nan,nan,nan,0.8640219032887625,0.1961872021296068,0.8037305087104342
10,3plus_labels,147,0.2788912321759464,0.8030427929578727,0.36541826688199136,0.7550168316162896,0.899379912464902,0.3529058230276875,0.6470941769723124
10,exactly_2_labels,375,0.5085298882962948,0.9381212087042756,0.5033388149830125,0.8291670944007443,0.9363352568854046,0.31004665977531326,0.6898165880879344
10,single_label,927,nan,nan,nan,nan,0.9813722435891087,0.2517708389825377,0.7481205946467601
11,3plus_labels,147,0.2682337612741372,0.7907990199472404,0.44638579468973116,0.813042854575988,0.9465237669536879,0.39440004409518525,0.6054255271589574
11,exactly_2_labels,375,0.5253403609489173,0.933677666821798,0.5911862369684867,0.8845988916355738,0.9708483936187641,0.34331072855522576,0.6564841432396461
11,single_label,927,nan,nan,nan,nan,0.9936005591906117,0.28777408975668695,0.7120080859963626
12,3plus_labels,147,0.26447423007872345,0.7890821752450782,0.4906602464851976,0.8257314932406443,0.9546425309287977,0.413464572418812,0.5863609988353307
12,exactly_2_labels,375,0.525061364341351,0.9324211961684585,0.6283854320635782,0.8975315158031566,0.9775868654411041,0.3520347788024279,0.6477600929924437
12,single_label,927,nan,nan,nan,nan,0.9952759314016691,0.29039990706055424,0.7093546084706605
