layer,raw_corr,residual_corr,raw_collision_at5,residual_collision_at5,common_r2,common_fg_at5,common_bg_at5,pca_pc1,pc4_cumulative,pca_r95,effective_rank
1,-0.1837057897505605,-0.1235992543988149,0.1409466230862779,0.2171863889537599,0.7272376229201453,0.3179397164416498,0.6818411095977575,0.3910685247041933,0.8629771820957539,15,6.947279701686756
2,-0.208287818779562,-0.1033652458435198,0.0939941921429618,0.1070188505458037,0.4164672500074197,0.4525364374224604,0.5471589209767228,0.2016650613356505,0.5703665205857679,37,19.095154533838933
3,-0.1946717399398043,-0.043365468978524,0.0329888019717372,0.0436419939133583,0.3573922298940445,0.6084126762812697,0.3912503260895891,0.3370210153491336,0.5838768777869081,68,21.338508722469275
4,-0.2371581976302001,-0.035834759819267,0.0642742360481935,0.0711117930692004,0.4557394180829435,0.3329002414340969,0.6669040313678875,0.7648644476846227,0.8658847474239034,32,4.021733282573495
5,-0.0561257813788232,0.3017539918443584,0.0662319526294287,0.0938826411507456,0.7711816383079725,0.2869993156369135,0.712840862635759,0.8842104782161283,0.936518620433032,8,2.1624617303163003
6,0.0986847517890643,0.5526808007109099,0.0811900625216059,0.2149108938555044,0.8418530396073369,0.233868408664773,0.7660435320938496,0.7677953577239518,0.9375350219539704,6,2.9515888347093924
7,0.1386880466539989,0.6024289540097294,0.0752114597048107,0.2169324301996802,0.8314887068373038,0.2235604973189475,0.7762978907545435,0.7350847318564265,0.9313927998728988,8,3.306912004042175
8,0.1993412532499905,0.6238920515720325,0.0788731808756236,0.2173221569890506,0.7977574418837164,0.1933631325138577,0.8065837804765335,0.6316439083689476,0.878597118500082,27,5.238895219087711
9,0.377933872984999,0.8349808038663528,0.2630660041537614,0.5477083116854206,0.8505297688257953,0.2070228449399571,0.7929245104421807,0.4255865545433698,0.8756733270384528,19,6.474725428784013
10,0.4438615311129782,0.900081884729714,0.4644991204028399,0.8082856985591451,0.9613986461500836,0.2771126439873189,0.7227825091687038,0.6791984303787882,0.9179942267862918,9,3.6124951434495856
11,0.4529367782818815,0.8934417260352846,0.5504091009244695,0.8644480536130468,0.9829364111241724,0.3129640516871295,0.6868258122331691,0.7664470766499224,0.9355059780136148,6,2.8080283775792125
12,0.4516776311294617,0.8920556098164721,0.5896007533662182,0.8773119692194605,0.9865757867469253,0.3188357819472805,0.6809363863031485,0.793687541353928,0.9414074768731192,6,2.5880879852023733
