graph,lambda,scope,stratum,aggregation,metric,estimate,ci_low,ci_high,num_images,num_images_total,num_rows,num_rows_total,num_classes,bootstrap_repeats,bootstrap_valid_repeats,bootstrap_valid_fraction,bootstrap_seed,bootstrap_base_seed
B1_spatial,0.25,all_class_maps,all,micro,energy_raw,0.008560702559979904,0.008338373786745063,0.008799121273902,1449,1449,28980,28980,,5000,5000,1.0,3021694564,20260901
B1_spatial,0.25,all_class_maps,all,micro,energy_smoothed,0.006665592021423728,0.006480901514744024,0.006860787934462413,1449,1449,28980,28980,,5000,5000,1.0,3021694564,20260901
B1_spatial,0.25,all_class_maps,all,micro,energy_retention,0.7345173676993783,0.7336656981188833,0.7353894120215176,1449,1449,28980,28980,,5000,5000,1.0,3021694564,20260901
B1_spatial,0.25,all_class_maps,all,micro,linear_solve_relative_residual,4.831173343535012e-06,4.8057047372311275e-06,4.856628018758594e-06,1449,1449,28980,28980,,5000,5000,1.0,3021694564,20260901
B1_spatial,0.25,all_class_maps,all,micro,cg_iterations,5.0,5.0,5.0,1449,1449,28980,28980,,5000,5000,1.0,3021694564,20260901
B1_spatial,0.25,all_class_maps,all,micro,solve_runtime_ms_per_map,0.0036804966954417976,0.0036418173100164803,0.003719675662860887,1449,1449,28980,28980,,5000,5000,1.0,3021694564,20260901
B1_spatial,0.25,all_class_maps,all,macro_class,energy_raw,0.008560702559979908,0.008338373786745063,0.008799121273902,1449,1449,28980,28980,20,5000,5000,1.0,3021694564,20260901
B1_spatial,0.25,all_class_maps,all,macro_class,energy_smoothed,0.006665592021423727,0.006480901514744026,0.006860787934462413,1449,1449,28980,28980,20,5000,5000,1.0,3021694564,20260901
B1_spatial,0.25,all_class_maps,all,macro_class,energy_retention,0.7345173676993783,0.7336656981188832,0.7353894120215178,1449,1449,28980,28980,20,5000,5000,1.0,3021694564,20260901
B1_spatial,0.25,all_class_maps,all,macro_class,linear_solve_relative_residual,4.831173343535013e-06,4.805704737231128e-06,4.856628018758594e-06,1449,1449,28980,28980,20,5000,5000,1.0,3021694564,20260901
B1_spatial,0.25,all_class_maps,all,macro_class,cg_iterations,5.0,5.0,5.0,1449,1449,28980,28980,20,5000,5000,1.0,3021694564,20260901
B1_spatial,0.25,all_class_maps,all,macro_class,solve_runtime_ms_per_map,0.0036804966954417976,0.003641817310016481,0.003719675662860887,1449,1449,28980,28980,20,5000,5000,1.0,3021694564,20260901
B1_spatial,0.25,all_class_maps,single_label,micro,energy_raw,0.006739255981066464,0.006525470391181321,0.006959116221324721,927,927,18540,18540,,5000,5000,1.0,3021694564,20260901
B1_spatial,0.25,all_class_maps,single_label,micro,energy_smoothed,0.0051335909887480205,0.004961080563711399,0.005311665177371993,927,927,18540,18540,,5000,5000,1.0,3021694564,20260901
B1_spatial,0.25,all_class_maps,single_label,micro,energy_retention,0.7292177533576146,0.7281701827863435,0.7302490389539168,927,927,18540,18540,,5000,5000,1.0,3021694564,20260901
B1_spatial,0.25,all_class_maps,single_label,micro,linear_solve_relative_residual,4.813315362044713e-06,4.780368539402752e-06,4.846675476548853e-06,927,927,18540,18540,,5000,5000,1.0,3021694564,20260901
B1_spatial,0.25,all_class_maps,single_label,micro,cg_iterations,5.0,5.0,5.0,927,927,18540,18540,,5000,5000,1.0,3021694564,20260901
B1_spatial,0.25,all_class_maps,single_label,micro,solve_runtime_ms_per_map,0.003651621669120589,0.00360876200979918,0.003697324264116048,927,927,18540,18540,,5000,5000,1.0,3021694564,20260901
B1_spatial,0.25,all_class_maps,single_label,macro_class,energy_raw,0.006739255981066462,0.006525470391181321,0.00695911622132472,927,927,18540,18540,20,5000,5000,1.0,3021694564,20260901
B1_spatial,0.25,all_class_maps,single_label,macro_class,energy_smoothed,0.00513359098874802,0.004961080563711399,0.005311665177371993,927,927,18540,18540,20,5000,5000,1.0,3021694564,20260901
B1_spatial,0.25,all_class_maps,single_label,macro_class,energy_retention,0.7292177533576145,0.7281701827863435,0.7302490389539168,927,927,18540,18540,20,5000,5000,1.0,3021694564,20260901
B1_spatial,0.25,all_class_maps,single_label,macro_class,linear_solve_relative_residual,4.813315362044713e-06,4.780368539402753e-06,4.846675476548851e-06,927,927,18540,18540,20,5000,5000,1.0,3021694564,20260901
B1_spatial,0.25,all_class_maps,single_label,macro_class,cg_iterations,5.0,5.0,5.0,927,927,18540,18540,20,5000,5000,1.0,3021694564,20260901
B1_spatial,0.25,all_class_maps,single_label,macro_class,solve_runtime_ms_per_map,0.0036516216691205874,0.0036087620097991807,0.0036973242641160477,927,927,18540,18540,20,5000,5000,1.0,3021694564,20260901
B1_spatial,0.25,all_class_maps,exactly_2_labels,micro,energy_raw,0.010749907921534031,0.010364591250340454,0.011158526960033147,375,375,7500,7500,,5000,5000,1.0,3021694564,20260901
B1_spatial,0.25,all_class_maps,exactly_2_labels,micro,energy_smoothed,0.008494182104198262,0.008172848879512942,0.008829742335167636,375,375,7500,7500,,5000,5000,1.0,3021694564,20260901
B1_spatial,0.25,all_class_maps,exactly_2_labels,micro,energy_retention,0.7418032214641571,0.7404276308560371,0.7431730450816949,375,375,7500,7500,,5000,5000,1.0,3021694564,20260901
B1_spatial,0.25,all_class_maps,exactly_2_labels,micro,linear_solve_relative_residual,4.908710656491166e-06,4.863954918208719e-06,4.953921729848313e-06,375,375,7500,7500,,5000,5000,1.0,3021694564,20260901
B1_spatial,0.25,all_class_maps,exactly_2_labels,micro,cg_iterations,5.0,5.0,5.0,375,375,7500,7500,,5000,5000,1.0,3021694564,20260901
B1_spatial,0.25,all_class_maps,exactly_2_labels,micro,solve_runtime_ms_per_map,0.003751699870917946,0.003662811251415405,0.003849644064272676,375,375,7500,7500,,5000,5000,1.0,3021694564,20260901
B1_spatial,0.25,all_class_maps,exactly_2_labels,macro_class,energy_raw,0.010749907921534033,0.010364591250340456,0.011158526960033147,375,375,7500,7500,20,5000,5000,1.0,3021694564,20260901
B1_spatial,0.25,all_class_maps,exactly_2_labels,macro_class,energy_smoothed,0.008494182104198262,0.008172848879512942,0.008829742335167638,375,375,7500,7500,20,5000,5000,1.0,3021694564,20260901
B1_spatial,0.25,all_class_maps,exactly_2_labels,macro_class,energy_retention,0.7418032214641571,0.7404276308560374,0.7431730450816947,375,375,7500,7500,20,5000,5000,1.0,3021694564,20260901
B1_spatial,0.25,all_class_maps,exactly_2_labels,macro_class,linear_solve_relative_residual,4.908710656491166e-06,4.863954918208718e-06,4.953921729848314e-06,375,375,7500,7500,20,5000,5000,1.0,3021694564,20260901
B1_spatial,0.25,all_class_maps,exactly_2_labels,macro_class,cg_iterations,5.0,5.0,5.0,375,375,7500,7500,20,5000,5000,1.0,3021694564,20260901
B1_spatial,0.25,all_class_maps,exactly_2_labels,macro_class,solve_runtime_ms_per_map,0.003751699870917946,0.003662811251415405,0.003849644064272677,375,375,7500,7500,20,5000,5000,1.0,3021694564,20260901
B1_spatial,0.25,all_class_maps,3plus_labels,micro,energy_raw,0.014462260165898015,0.013762959155064397,0.015164014389013812,147,147,2940,2940,,5000,5000,1.0,3021694564,20260901
B1_spatial,0.25,all_class_maps,3plus_labels,micro,energy_smoothed,0.011661807506117134,0.011071041930419571,0.012250863707572503,147,147,2940,2940,,5000,5000,1.0,3021694564,20260901
B1_spatial,0.25,all_class_maps,3plus_labels,micro,energy_retention,0.7493510230260642,0.7474452967384235,0.7512134280202746,147,147,2940,2940,,5000,5000,1.0,3021694564,20260901
B1_spatial,0.25,all_class_maps,3plus_labels,micro,linear_solve_relative_residual,4.745988693759166e-06,4.67299818501797e-06,4.819540179256325e-06,147,147,2940,2940,,5000,5000,1.0,3021694564,20260901
B1_spatial,0.25,all_class_maps,3plus_labels,micro,cg_iterations,5.0,5.0,5.0,147,147,2940,2940,,5000,5000,1.0,3021694564,20260901
B1_spatial,0.25,all_class_maps,3plus_labels,micro,solve_runtime_ms_per_map,0.003680945393375159,0.003581086018259937,0.0038141967293611953,147,147,2940,2940,,5000,5000,1.0,3021694564,20260901
B1_spatial,0.25,all_class_maps,3plus_labels,macro_class,energy_raw,0.014462260165898019,0.013762959155064399,0.015164014389013812,147,147,2940,2940,20,5000,5000,1.0,3021694564,20260901
B1_spatial,0.25,all_class_maps,3plus_labels,macro_class,energy_smoothed,0.011661807506117132,0.01107104193041957,0.012250863707572501,147,147,2940,2940,20,5000,5000,1.0,3021694564,20260901
B1_spatial,0.25,all_class_maps,3plus_labels,macro_class,energy_retention,0.7493510230260642,0.7474452967384233,0.7512134280202746,147,147,2940,2940,20,5000,5000,1.0,3021694564,20260901
B1_spatial,0.25,all_class_maps,3plus_labels,macro_class,linear_solve_relative_residual,4.7459886937591655e-06,4.672998185017969e-06,4.819540179256326e-06,147,147,2940,2940,20,5000,5000,1.0,3021694564,20260901
B1_spatial,0.25,all_class_maps,3plus_labels,macro_class,cg_iterations,5.0,5.0,5.0,147,147,2940,2940,20,5000,5000,1.0,3021694564,20260901
