graph,lambda,scope,stratum,aggregation,metric,estimate,ci_low,ci_high,num_images,num_images_total,num_rows,num_rows_total,num_classes,bootstrap_repeats,bootstrap_valid_repeats,bootstrap_valid_fraction,bootstrap_seed,bootstrap_base_seed
B1_spatial,0.25,all_class_maps,all,micro,fidelity,0.013623003983176637,0.013500067170080616,0.013750699927742426,1449,1449,28980,28980,,5000,5000,1.0,3021694564,20260901
B1_spatial,0.25,all_class_maps,all,micro,relative_l2_change,0.013623003983176637,0.013500067170080616,0.013750699927742426,1449,1449,28980,28980,,5000,5000,1.0,3021694564,20260901
B1_spatial,0.25,all_class_maps,all,micro,map_pearson,0.998645597632545,0.9986365693036321,0.9986544620861177,1449,1449,28980,28980,,5000,5000,1.0,3021694564,20260901
B1_spatial,0.25,all_class_maps,all,micro,map_spearman,0.9976395085608244,0.9975960324928833,0.9976817508057798,1449,1449,28980,28980,,5000,5000,1.0,3021694564,20260901
B1_spatial,0.25,all_class_maps,all,micro,smoothed_std_over_raw,0.9566232244009145,0.9563325290589126,0.956907422739763,1449,1449,28980,28980,,5000,5000,1.0,3021694564,20260901
B1_spatial,0.25,all_class_maps,all,macro_class,fidelity,0.013623003983176635,0.013500067170080616,0.013750699927742428,1449,1449,28980,28980,20,5000,5000,1.0,3021694564,20260901
B1_spatial,0.25,all_class_maps,all,macro_class,relative_l2_change,0.013623003983176635,0.013500067170080616,0.013750699927742428,1449,1449,28980,28980,20,5000,5000,1.0,3021694564,20260901
B1_spatial,0.25,all_class_maps,all,macro_class,map_pearson,0.998645597632545,0.9986365693036322,0.9986544620861179,1449,1449,28980,28980,20,5000,5000,1.0,3021694564,20260901
B1_spatial,0.25,all_class_maps,all,macro_class,map_spearman,0.9976395085608244,0.9975960324928834,0.9976817508057799,1449,1449,28980,28980,20,5000,5000,1.0,3021694564,20260901
B1_spatial,0.25,all_class_maps,all,macro_class,smoothed_std_over_raw,0.9566232244009145,0.9563325290589128,0.9569074227397635,1449,1449,28980,28980,20,5000,5000,1.0,3021694564,20260901
B1_spatial,0.25,all_class_maps,single_label,micro,fidelity,0.012676436103807065,0.01254098728346674,0.01281367135067466,927,927,18540,18540,,5000,5000,1.0,3021694564,20260901
B1_spatial,0.25,all_class_maps,single_label,micro,relative_l2_change,0.012676436103807065,0.01254098728346674,0.01281367135067466,927,927,18540,18540,,5000,5000,1.0,3021694564,20260901
B1_spatial,0.25,all_class_maps,single_label,micro,map_pearson,0.9986528630041897,0.9986409046570042,0.9986649831645633,927,927,18540,18540,,5000,5000,1.0,3021694564,20260901
B1_spatial,0.25,all_class_maps,single_label,micro,map_spearman,0.9974539132694339,0.997387648631679,0.9975134147523612,927,927,18540,18540,,5000,5000,1.0,3021694564,20260901
B1_spatial,0.25,all_class_maps,single_label,micro,smoothed_std_over_raw,0.9553265778410139,0.9549671973879604,0.9556803730316661,927,927,18540,18540,,5000,5000,1.0,3021694564,20260901
B1_spatial,0.25,all_class_maps,single_label,macro_class,fidelity,0.012676436103807065,0.012540987283466738,0.012813671350674662,927,927,18540,18540,20,5000,5000,1.0,3021694564,20260901
B1_spatial,0.25,all_class_maps,single_label,macro_class,relative_l2_change,0.012676436103807065,0.012540987283466738,0.012813671350674662,927,927,18540,18540,20,5000,5000,1.0,3021694564,20260901
B1_spatial,0.25,all_class_maps,single_label,macro_class,map_pearson,0.9986528630041898,0.9986409046570044,0.9986649831645634,927,927,18540,18540,20,5000,5000,1.0,3021694564,20260901
B1_spatial,0.25,all_class_maps,single_label,macro_class,map_spearman,0.9974539132694341,0.997387648631679,0.9975134147523612,927,927,18540,18540,20,5000,5000,1.0,3021694564,20260901
B1_spatial,0.25,all_class_maps,single_label,macro_class,smoothed_std_over_raw,0.9553265778410139,0.9549671973879604,0.9556803730316663,927,927,18540,18540,20,5000,5000,1.0,3021694564,20260901
B1_spatial,0.25,all_class_maps,exactly_2_labels,micro,fidelity,0.014858430241545042,0.014673412307919935,0.015045789379514753,375,375,7500,7500,,5000,5000,1.0,3021694564,20260901
B1_spatial,0.25,all_class_maps,exactly_2_labels,micro,relative_l2_change,0.014858430241545042,0.014673412307919935,0.015045789379514753,375,375,7500,7500,,5000,5000,1.0,3021694564,20260901
B1_spatial,0.25,all_class_maps,exactly_2_labels,micro,map_pearson,0.9986275933424632,0.9986111925123136,0.9986435463223854,375,375,7500,7500,,5000,5000,1.0,3021694564,20260901
B1_spatial,0.25,all_class_maps,exactly_2_labels,micro,map_spearman,0.9979482073624929,0.9979112258688609,0.9979833375447988,375,375,7500,7500,,5000,5000,1.0,3021694564,20260901
B1_spatial,0.25,all_class_maps,exactly_2_labels,micro,smoothed_std_over_raw,0.9584909762461981,0.9579403887905676,0.9590287590998411,375,375,7500,7500,,5000,5000,1.0,3021694564,20260901
B1_spatial,0.25,all_class_maps,exactly_2_labels,macro_class,fidelity,0.01485843024154504,0.014673412307919935,0.015045789379514755,375,375,7500,7500,20,5000,5000,1.0,3021694564,20260901
B1_spatial,0.25,all_class_maps,exactly_2_labels,macro_class,relative_l2_change,0.01485843024154504,0.014673412307919935,0.015045789379514755,375,375,7500,7500,20,5000,5000,1.0,3021694564,20260901
B1_spatial,0.25,all_class_maps,exactly_2_labels,macro_class,map_pearson,0.9986275933424631,0.9986111925123136,0.9986435463223855,375,375,7500,7500,20,5000,5000,1.0,3021694564,20260901
B1_spatial,0.25,all_class_maps,exactly_2_labels,macro_class,map_spearman,0.9979482073624929,0.9979112258688608,0.9979833375447986,375,375,7500,7500,20,5000,5000,1.0,3021694564,20260901
B1_spatial,0.25,all_class_maps,exactly_2_labels,macro_class,smoothed_std_over_raw,0.958490976246198,0.9579403887905678,0.9590287590998411,375,375,7500,7500,20,5000,5000,1.0,3021694564,20260901
B1_spatial,0.25,all_class_maps,3plus_labels,micro,fidelity,0.016440579338873527,0.016164978224313724,0.016713390025986537,147,147,2940,2940,,5000,5000,1.0,3021694564,20260901
B1_spatial,0.25,all_class_maps,3plus_labels,micro,relative_l2_change,0.016440579338873527,0.016164978224313724,0.016713390025986537,147,147,2940,2940,,5000,5000,1.0,3021694564,20260901
B1_spatial,0.25,all_class_maps,3plus_labels,micro,map_pearson,0.9986457106207504,0.9986212180103777,0.9986693262866362,147,147,2940,2940,,5000,5000,1.0,3021694564,20260901
B1_spatial,0.25,all_class_maps,3plus_labels,micro,map_spearman,0.9980223982512545,0.9979738313785824,0.9980698942616075,147,147,2940,2940,,5000,5000,1.0,3021694564,20260901
B1_spatial,0.25,all_class_maps,3plus_labels,micro,smoothed_std_over_raw,0.9600353633059936,0.9592078612775219,0.9608312508899745,147,147,2940,2940,,5000,5000,1.0,3021694564,20260901
B1_spatial,0.25,all_class_maps,3plus_labels,macro_class,fidelity,0.016440579338873527,0.016164978224313724,0.016713390025986537,147,147,2940,2940,20,5000,5000,1.0,3021694564,20260901
B1_spatial,0.25,all_class_maps,3plus_labels,macro_class,relative_l2_change,0.016440579338873527,0.016164978224313724,0.016713390025986537,147,147,2940,2940,20,5000,5000,1.0,3021694564,20260901
B1_spatial,0.25,all_class_maps,3plus_labels,macro_class,map_pearson,0.9986457106207502,0.998621218010378,0.9986693262866362,147,147,2940,2940,20,5000,5000,1.0,3021694564,20260901
B1_spatial,0.25,all_class_maps,3plus_labels,macro_class,map_spearman,0.9980223982512546,0.9979738313785823,0.9980698942616077,147,147,2940,2940,20,5000,5000,1.0,3021694564,20260901
B1_spatial,0.25,all_class_maps,3plus_labels,macro_class,smoothed_std_over_raw,0.9600353633059934,0.9592078612775219,0.9608312508899745,147,147,2940,2940,20,5000,5000,1.0,3021694564,20260901
B1_spatial,0.25,per_class,all,micro,fidelity,0.01168907316609847,0.011534839774738403,0.011856095969781094,1449,1449,1449,1449,,5000,5000,1.0,3021694564,20260901
B1_spatial,0.25,per_class,all,micro,relative_l2_change,0.01168907316609847,0.011534839774738403,0.011856095969781094,1449,1449,1449,1449,,5000,5000,1.0,3021694564,20260901
B1_spatial,0.25,per_class,all,micro,map_pearson,0.9987272007289305,0.9987139674539892,0.9987405130211611,1449,1449,1449,1449,,5000,5000,1.0,3021694564,20260901
B1_spatial,0.25,per_class,all,micro,map_spearman,0.9978376618330029,0.9977896773368841,0.9978845326426607,1449,1449,1449,1449,,5000,5000,1.0,3021694564,20260901
B1_spatial,0.25,per_class,all,micro,smoothed_std_over_raw,0.9550875461126213,0.9545539667260409,0.9556365434437722,1449,1449,1449,1449,,5000,5000,1.0,3021694564,20260901
B1_spatial,0.25,per_class,all,micro,fidelity,0.012792151607380212,0.0125323218397129,0.013071404909715057,1449,1449,1449,1449,,5000,5000,1.0,3021694564,20260901
