graph,lambda,region,location,scope,stratum,aggregation,metric,estimate,ci_low,ci_high,num_images,num_images_total,num_rows,num_rows_total,num_classes,bootstrap_repeats,bootstrap_valid_repeats,bootstrap_valid_fraction,bootstrap_seed,bootstrap_base_seed
B1_spatial,1.0,background,boundary,all_positive_classes,all,micro,mean_stability,0.5138101101389657,0.5115098269620986,0.5160393289792368,1424,1449,2110,2147,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,background,boundary,all_positive_classes,all,micro,median_stability,0.4804766262982976,0.4775560330696418,0.48327080539622597,1424,1449,2110,2147,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,background,boundary,all_positive_classes,all,micro,q25_stability,0.351973609519478,0.34957970131261684,0.3542838062924888,1424,1449,2110,2147,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,background,boundary,all_positive_classes,all,micro,q75_stability,0.6550711682075149,0.6517392524376955,0.6582003272193803,1424,1449,2110,2147,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,background,boundary,all_positive_classes,all,macro_class,mean_stability,0.5152019939291723,0.5128404211332147,0.5175368581268835,1424,1449,2110,2147,20,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,background,boundary,all_positive_classes,all,macro_class,median_stability,0.48190815632159323,0.47888783890160647,0.48485626619376215,1424,1449,2110,2147,20,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,background,boundary,all_positive_classes,all,macro_class,q25_stability,0.3540534847692931,0.3516559499514316,0.35642182954922774,1424,1449,2110,2147,20,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,background,boundary,all_positive_classes,all,macro_class,q75_stability,0.6559434144728968,0.6523630782242462,0.6593060218797928,1424,1449,2110,2147,20,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,background,boundary,all_positive_classes,single_label,micro,mean_stability,0.5142266522625973,0.5106575040227485,0.5177874668520743,912,927,912,927,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,background,boundary,all_positive_classes,single_label,micro,median_stability,0.4804891799249801,0.47602579130691264,0.4850381573503379,912,927,912,927,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,background,boundary,all_positive_classes,single_label,micro,q25_stability,0.3538389439866143,0.3501046945491403,0.35758640314791745,912,927,912,927,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,background,boundary,all_positive_classes,single_label,micro,q75_stability,0.6533655790906203,0.648304047703258,0.6583798666634145,912,927,912,927,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,background,boundary,all_positive_classes,single_label,macro_class,mean_stability,0.511973262134818,0.50688907731275,0.5166749829652112,912,927,912,927,20,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,background,boundary,all_positive_classes,single_label,macro_class,median_stability,0.4787816603238378,0.4726563149147014,0.48502932506439456,912,927,912,927,20,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,background,boundary,all_positive_classes,single_label,macro_class,q25_stability,0.3522046938513762,0.34747030745300733,0.3567214638460318,912,927,912,927,20,5000,5000,1.0,3021694564,20260901
