graph,lambda,scope,stratum,aggregation,metric,estimate,ci_low,ci_high,num_images,num_images_total,num_rows,num_rows_total,num_classes,bootstrap_repeats,bootstrap_valid_repeats,bootstrap_valid_fraction,bootstrap_seed,bootstrap_base_seed
B1_spatial,1.0,all_positive_classes,all,micro,stability_spearman,0.13033858994225073,0.12273004366448602,0.13842552282819107,522,522,906,906,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,all_positive_classes,all,micro,top10_jaccard,0.061008682275260254,0.05953919406048084,0.062473368857695416,522,522,906,906,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,all_positive_classes,all,micro,top20_jaccard,0.127402722991087,0.12569554916567552,0.12915940200430756,522,522,906,906,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,all_positive_classes,all,micro,shared_target_either_fraction,0.26349605806074444,0.24191748177440955,0.2859735436315668,521,522,903,906,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,all_positive_classes,all,micro,shared_background_fraction,0.6244988804325334,0.5933979865516859,0.6560649033997566,521,522,903,906,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,all_positive_classes,all,micro,shared_other_foreground_fraction,0.11176595952343463,0.09290710577726947,0.130437766183119,521,522,903,906,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,all_positive_classes,all,macro_class,stability_spearman,0.13896754011958648,0.12959592063809564,0.14974609450127355,522,522,906,906,17,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,all_positive_classes,all,macro_class,top10_jaccard,0.060621506108541307,0.05872478557416412,0.06273722455971545,522,522,906,906,17,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,all_positive_classes,all,macro_class,top20_jaccard,0.1289194770874244,0.12669080956032847,0.13137736183855225,522,522,906,906,17,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,all_positive_classes,all,macro_class,shared_target_either_fraction,0.2553660808406613,0.23225316950631392,0.28155657950433755,521,522,903,906,17,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,all_positive_classes,all,macro_class,shared_background_fraction,0.6506513256824575,0.6167660975487201,0.6838489009111188,521,522,903,906,17,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,all_positive_classes,all,macro_class,shared_other_foreground_fraction,0.09378547168857786,0.07200032101028798,0.1142194089841462,521,522,903,906,17,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,all_positive_classes,exactly_2_labels,micro,stability_spearman,0.14853402608064786,0.13678132193860984,0.16058308043802788,375,375,375,375,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,all_positive_classes,exactly_2_labels,micro,top10_jaccard,0.06211447272542109,0.059803864317294786,0.06452734986747391,375,375,375,375,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,all_positive_classes,exactly_2_labels,micro,top20_jaccard,0.1287087432102686,0.12613603570120988,0.13136760580913018,375,375,375,375,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,all_positive_classes,exactly_2_labels,micro,shared_target_either_fraction,0.33292842298032627,0.3015992195032096,0.3644785228031728,374,375,374,375,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,all_positive_classes,exactly_2_labels,micro,shared_background_fraction,0.6661600553862272,0.6346133433015786,0.6974554135241317,374,375,374,375,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,all_positive_classes,exactly_2_labels,micro,shared_other_foreground_fraction,0.0006684491978609625,0.0,0.0020107238605898124,374,375,374,375,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,all_positive_classes,exactly_2_labels,macro_class,stability_spearman,0.15523428128498878,0.14043000030523542,0.1700886643420474,375,375,375,375,17,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,all_positive_classes,exactly_2_labels,macro_class,top10_jaccard,0.06395196180367868,0.06106373993270406,0.06703390358877973,375,375,375,375,17,5000,5000,1.0,3021694564,20260901
