graph,lambda,spatial_stratum,quantity,aggregation,metric,estimate,ci_low,ci_high,num_images,num_images_total,num_rows,num_rows_total,num_classes,bootstrap_repeats,bootstrap_valid_repeats,bootstrap_valid_fraction,bootstrap_seed,bootstrap_base_seed
B1_spatial,1.0,all_valid,boundary_distance,micro,spearman_stability_vs_quantity,0.1308669298878028,0.12475539768195246,0.13727493281118325,1432,1449,2128,2147,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,all_valid,boundary_distance,macro_class,spearman_stability_vs_quantity,0.12258656469896209,0.11681074828615555,0.1285290717384757,1432,1449,2128,2147,20,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,all_valid,local_class_map_variance,micro,spearman_stability_vs_quantity,-0.5275060005861122,-0.5305646253353482,-0.524391849144162,1449,1449,2147,2147,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,all_valid,local_class_map_variance,macro_class,spearman_stability_vs_quantity,-0.5217984284025474,-0.5249070480713621,-0.5186512753602006,1449,1449,2147,2147,20,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,all_valid,local_graph_degree,micro,spearman_stability_vs_quantity,0.007681307474458247,0.0018335977915985545,0.013585338334133345,1448,1449,2146,2147,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,all_valid,local_graph_degree,macro_class,spearman_stability_vs_quantity,0.011329681741917681,0.006043952666402898,0.016557339748731865,1448,1449,2146,2147,20,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,all_valid,raw_response,micro,spearman_stability_vs_quantity,-0.0590484169162054,-0.06564272188359115,-0.05243019467978605,1449,1449,2147,2147,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,all_valid,raw_response,macro_class,spearman_stability_vs_quantity,-0.04042192987264172,-0.04592927271333821,-0.0348727440348527,1449,1449,2147,2147,20,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,all_valid,relu_response,micro,spearman_stability_vs_quantity,-0.08544109917143748,-0.09311385512180029,-0.07771669283068491,1443,1449,2068,2147,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,all_valid,relu_response,macro_class,spearman_stability_vs_quantity,-0.06832699523857098,-0.07460616009413917,-0.062086569563933366,1443,1449,2068,2147,20,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,semantic_boundary,local_class_map_variance,micro,spearman_stability_vs_quantity,-0.3399321810418197,-0.3480222208824998,-0.33158486216547,1431,1431,2127,2127,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,semantic_boundary,local_class_map_variance,macro_class,spearman_stability_vs_quantity,-0.3345423457439611,-0.3427378879733335,-0.326261409353923,1431,1431,2127,2127,20,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,semantic_boundary,local_graph_degree,micro,spearman_stability_vs_quantity,0.04161150989799615,0.03394522213601769,0.04892918795092396,1247,1431,1894,2127,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,semantic_boundary,local_graph_degree,macro_class,spearman_stability_vs_quantity,0.04807385956012943,0.04017569071431143,0.05570710867557758,1247,1431,1894,2127,20,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,semantic_boundary,raw_response,micro,spearman_stability_vs_quantity,-0.14568085983089618,-0.15447952282314156,-0.1372839170195161,1431,1431,2127,2127,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,semantic_boundary,raw_response,macro_class,spearman_stability_vs_quantity,-0.13092539729216549,-0.14081137762104684,-0.12111880419908053,1431,1431,2127,2127,20,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,semantic_boundary,relu_response,micro,spearman_stability_vs_quantity,-0.17906224677744803,-0.1885036721565451,-0.1701226643837647,1421,1431,2012,2127,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,semantic_boundary,relu_response,macro_class,spearman_stability_vs_quantity,-0.16592465957977012,-0.1758862113642618,-0.1558684702911781,1421,1431,2012,2127,20,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,semantic_interior,boundary_distance,micro,spearman_stability_vs_quantity,0.12762908676674503,0.12080906616492951,0.13447031445245308,1432,1449,2128,2147,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,semantic_interior,boundary_distance,macro_class,spearman_stability_vs_quantity,0.11853744951585281,0.11225161621816956,0.12459761025294186,1432,1449,2128,2147,20,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,semantic_interior,local_class_map_variance,micro,spearman_stability_vs_quantity,-0.5626400402418282,-0.565804315285913,-0.5593516747500387,1449,1449,2147,2147,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,semantic_interior,local_class_map_variance,macro_class,spearman_stability_vs_quantity,-0.5560952504625638,-0.5592653525635473,-0.5529020142543103,1449,1449,2147,2147,20,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,semantic_interior,local_graph_degree,micro,spearman_stability_vs_quantity,0.009307768648217161,0.0032130071219886236,0.015448684074110196,1448,1449,2146,2147,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,semantic_interior,local_graph_degree,macro_class,spearman_stability_vs_quantity,0.01266221254953336,0.00708299490112133,0.01802383559190217,1448,1449,2146,2147,20,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,semantic_interior,raw_response,micro,spearman_stability_vs_quantity,-0.03184441155632523,-0.03890522131697716,-0.02477016430856466,1449,1449,2147,2147,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,semantic_interior,raw_response,macro_class,spearman_stability_vs_quantity,-0.014758277953240412,-0.020768628994448486,-0.009046882495816722,1449,1449,2147,2147,20,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,semantic_interior,relu_response,micro,spearman_stability_vs_quantity,-0.05908800178556578,-0.06706191569859123,-0.050933354755442424,1442,1449,2059,2147,,5000,5000,1.0,3021694564,20260901
B1_spatial,1.0,semantic_interior,relu_response,macro_class,spearman_stability_vs_quantity,-0.04381548097387037,-0.0503798011065589,-0.03727980923904705,1442,1449,2059,2147,20,5000,5000,1.0,3021694564,20260901
B2_feature,1.0,all_valid,boundary_distance,micro,spearman_stability_vs_quantity,0.13028642994866357,0.12449267969612927,0.13641434872658548,1432,1449,2128,2147,,5000,5000,1.0,3021694564,20260901
B2_feature,1.0,all_valid,boundary_distance,macro_class,spearman_stability_vs_quantity,0.12270739861543803,0.11714738605370006,0.12841881680884915,1432,1449,2128,2147,20,5000,5000,1.0,3021694564,20260901
B2_feature,1.0,all_valid,local_class_map_variance,micro,spearman_stability_vs_quantity,-0.5061517694539814,-0.5092084201509572,-0.5030845243649431,1449,1449,2147,2147,,5000,5000,1.0,3021694564,20260901
B2_feature,1.0,all_valid,local_class_map_variance,macro_class,spearman_stability_vs_quantity,-0.5002070230411839,-0.5033109968360606,-0.49706731758426964,1449,1449,2147,2147,20,5000,5000,1.0,3021694564,20260901
B2_feature,1.0,all_valid,local_graph_degree,micro,spearman_stability_vs_quantity,0.09942464987815404,0.09287189950133456,0.10594046857093556,1449,1449,2147,2147,,5000,5000,1.0,3021694564,20260901
B2_feature,1.0,all_valid,local_graph_degree,macro_class,spearman_stability_vs_quantity,0.10479320835482406,0.09903576049984757,0.1104463547340887,1449,1449,2147,2147,20,5000,5000,1.0,3021694564,20260901
B2_feature,1.0,all_valid,raw_response,micro,spearman_stability_vs_quantity,-0.05141895059238026,-0.05812213398055162,-0.04473403174650915,1449,1449,2147,2147,,5000,5000,1.0,3021694564,20260901
B2_feature,1.0,all_valid,raw_response,macro_class,spearman_stability_vs_quantity,-0.03413014111478047,-0.03987340411179229,-0.02839061974767646,1449,1449,2147,2147,20,5000,5000,1.0,3021694564,20260901
B2_feature,1.0,all_valid,relu_response,micro,spearman_stability_vs_quantity,-0.0751714900156666,-0.08290535347636532,-0.06739717811260419,1443,1449,2068,2147,,5000,5000,1.0,3021694564,20260901
B2_feature,1.0,all_valid,relu_response,macro_class,spearman_stability_vs_quantity,-0.059408640194339245,-0.06575092468966412,-0.053098537659450315,1443,1449,2068,2147,20,5000,5000,1.0,3021694564,20260901
B2_feature,1.0,semantic_boundary,local_class_map_variance,micro,spearman_stability_vs_quantity,-0.3202745004382882,-0.3284334732297555,-0.3116371415796702,1431,1431,2127,2127,,5000,5000,1.0,3021694564,20260901
B2_feature,1.0,semantic_boundary,local_class_map_variance,macro_class,spearman_stability_vs_quantity,-0.3139957494021678,-0.3224116660753646,-0.3054628014681989,1431,1431,2127,2127,20,5000,5000,1.0,3021694564,20260901
B2_feature,1.0,semantic_boundary,local_graph_degree,micro,spearman_stability_vs_quantity,-0.015324776171905849,-0.024112678734194568,-0.007306784275567804,1431,1431,2127,2127,,5000,5000,1.0,3021694564,20260901
B2_feature,1.0,semantic_boundary,local_graph_degree,macro_class,spearman_stability_vs_quantity,-0.014135094810457462,-0.023088436248127706,-0.005642865349266163,1431,1431,2127,2127,20,5000,5000,1.0,3021694564,20260901
B2_feature,1.0,semantic_boundary,raw_response,micro,spearman_stability_vs_quantity,-0.14693196496449362,-0.15581538705903253,-0.13828927589837145,1431,1431,2127,2127,,5000,5000,1.0,3021694564,20260901
B2_feature,1.0,semantic_boundary,raw_response,macro_class,spearman_stability_vs_quantity,-0.13269415063019466,-0.14283008288611396,-0.12270087768734018,1431,1431,2127,2127,20,5000,5000,1.0,3021694564,20260901
B2_feature,1.0,semantic_boundary,relu_response,micro,spearman_stability_vs_quantity,-0.18205690484440917,-0.19137844097438483,-0.17322904980358497,1421,1431,2012,2127,,5000,5000,1.0,3021694564,20260901
