graph,row_type,region,aggregation,metric,estimate,ci_low,ci_high,num_images,num_images_total,num_rows,num_rows_total,num_classes,bootstrap_repeats,bootstrap_valid_repeats,bootstrap_valid_fraction,bootstrap_seed,bootstrap_base_seed
B1_spatial,suppression,background,micro,mean_score_delta_rs_minus_r,-0.0955640527754857,-0.09896403211094922,-0.09200214058758188,1432,1449,2120,2147,,5000,5000,1.0,3021694564,20260901
B1_spatial,suppression,background,micro,mean_relative_suppression,0.461736562524764,0.4604300058974248,0.4631294225647868,1432,1449,2120,2147,,5000,5000,1.0,3021694564,20260901
B1_spatial,suppression,background,macro_class,mean_score_delta_rs_minus_r,-0.09845729864165294,-0.10137524819039306,-0.09548130096672394,1432,1449,2120,2147,20,5000,5000,1.0,3021694564,20260901
B1_spatial,suppression,background,macro_class,mean_relative_suppression,0.46240243475084136,0.46114772594289877,0.4636903308375504,1432,1449,2120,2147,20,5000,5000,1.0,3021694564,20260901
B1_spatial,suppression,fg_bg_boundary,micro,mean_score_delta_rs_minus_r,-0.2014513261683993,-0.20699399995959675,-0.1959277805292843,1432,1449,2128,2147,,5000,5000,1.0,3021694564,20260901
B1_spatial,suppression,fg_bg_boundary,micro,mean_relative_suppression,0.5085116606065654,0.5064191725032553,0.510727915879553,1432,1449,2128,2147,,5000,5000,1.0,3021694564,20260901
B1_spatial,suppression,fg_bg_boundary,macro_class,mean_score_delta_rs_minus_r,-0.20546005942794446,-0.21062552814083246,-0.20038106263888453,1432,1449,2128,2147,20,5000,5000,1.0,3021694564,20260901
B1_spatial,suppression,fg_bg_boundary,macro_class,mean_relative_suppression,0.5065789453516807,0.5044599789498218,0.5087737191515237,1432,1449,2128,2147,20,5000,5000,1.0,3021694564,20260901
B1_spatial,suppression,other_foreground,micro,mean_score_delta_rs_minus_r,-0.05025134899103332,-0.055272367701525195,-0.04541498200802014,520,1449,1158,2147,,5000,5000,1.0,3021694564,20260901
B1_spatial,suppression,other_foreground,micro,mean_relative_suppression,0.49035895748356667,0.48550734695121356,0.4952863943427253,520,1449,1158,2147,,5000,5000,1.0,3021694564,20260901
B1_spatial,suppression,other_foreground,macro_class,mean_score_delta_rs_minus_r,-0.04650875168403696,-0.05432828215834782,-0.03973187073650177,520,1449,1158,2147,20,5000,5000,1.0,3021694564,20260901
B1_spatial,suppression,other_foreground,macro_class,mean_relative_suppression,0.5122933203175907,0.5024639745706988,0.5234359713918412,520,1449,1158,2147,20,5000,5000,1.0,3021694564,20260901
B1_spatial,suppression,target,micro,mean_score_delta_rs_minus_r,-0.3574859482399575,-0.3638286319524527,-0.3514254526244681,1441,1449,2031,2147,,5000,5000,1.0,3021694564,20260901
B1_spatial,suppression,target,micro,mean_relative_suppression,0.5512696529978428,0.5469481061157638,0.5556088921540654,1441,1449,2031,2147,,5000,5000,1.0,3021694564,20260901
B1_spatial,suppression,target,macro_class,mean_score_delta_rs_minus_r,-0.3481554383711446,-0.3546150285039778,-0.34177564068309174,1441,1449,2031,2147,20,5000,5000,1.0,3021694564,20260901
B1_spatial,suppression,target,macro_class,mean_relative_suppression,0.5437604276330426,0.5396041876508973,0.5480179211674095,1441,1449,2031,2147,20,5000,5000,1.0,3021694564,20260901
B1_spatial,suppression,target_boundary,micro,mean_score_delta_rs_minus_r,-0.3397169567399365,-0.3463858733029331,-0.3332631033110467,1432,1449,2021,2147,,5000,5000,1.0,3021694564,20260901
B1_spatial,suppression,target_boundary,micro,mean_relative_suppression,0.5664335811185341,0.5622524564663316,0.5705033220628042,1432,1449,2021,2147,,5000,5000,1.0,3021694564,20260901
B1_spatial,suppression,target_boundary,macro_class,mean_score_delta_rs_minus_r,-0.3306865117577091,-0.3374488999727461,-0.3239595930603788,1432,1449,2021,2147,20,5000,5000,1.0,3021694564,20260901
B1_spatial,suppression,target_boundary,macro_class,mean_relative_suppression,0.5583799812841149,0.5543098318218835,0.5624060273612063,1432,1449,2021,2147,20,5000,5000,1.0,3021694564,20260901
B1_spatial,suppression,target_interior,micro,mean_score_delta_rs_minus_r,-0.37551003046979825,-0.3825498821082082,-0.36861708221401707,1399,1449,1850,2147,,5000,5000,1.0,3021694564,20260901
B1_spatial,suppression,target_interior,micro,mean_relative_suppression,0.5363277748790947,0.5314604237885656,0.5411989557843355,1399,1449,1850,2147,,5000,5000,1.0,3021694564,20260901
B1_spatial,suppression,target_interior,macro_class,mean_score_delta_rs_minus_r,-0.3664570665830627,-0.3740232245826031,-0.35917184386227297,1399,1449,1850,2147,20,5000,5000,1.0,3021694564,20260901
B1_spatial,suppression,target_interior,macro_class,mean_relative_suppression,0.5320677669644018,0.526985713165807,0.5372296418190914,1399,1449,1850,2147,20,5000,5000,1.0,3021694564,20260901
B1_spatial,top_tail_transition,top05,micro,target_retained_fraction,0.2352154781505155,0.22353775691890174,0.24682393470828617,1449,1449,2147,2147,,5000,5000,1.0,3021694564,20260901
B1_spatial,top_tail_transition,top05,micro,background_removed_fraction,0.29644688863450624,0.2798977603313084,0.313357879454734,1449,1449,2147,2147,,5000,5000,1.0,3021694564,20260901
B1_spatial,top_tail_transition,top05,macro_class,target_retained_fraction,0.23556810961237998,0.22284141396478818,0.2483427272117083,1449,1449,2147,2147,20,5000,5000,1.0,3021694564,20260901
B1_spatial,top_tail_transition,top05,macro_class,background_removed_fraction,0.3026663120512821,0.28525534435515876,0.3201335871675826,1449,1449,2147,2147,20,5000,5000,1.0,3021694564,20260901
B1_spatial,top_tail_transition,top10,micro,target_retained_fraction,0.40236287119471414,0.389332266457461,0.4152067907147611,1449,1449,2147,2147,,5000,5000,1.0,3021694564,20260901
B1_spatial,top_tail_transition,top10,micro,background_removed_fraction,0.32112838829192614,0.3051801167462057,0.3372765216805187,1449,1449,2147,2147,,5000,5000,1.0,3021694564,20260901
B1_spatial,top_tail_transition,top10,macro_class,target_retained_fraction,0.400880478827467,0.38730512696242875,0.41454519739907525,1449,1449,2147,2147,20,5000,5000,1.0,3021694564,20260901
B1_spatial,top_tail_transition,top10,macro_class,background_removed_fraction,0.3315685993326196,0.3150873738290049,0.34842598794663027,1449,1449,2147,2147,20,5000,5000,1.0,3021694564,20260901
B1_spatial,top_tail_transition,top20,micro,target_retained_fraction,0.6006682902963817,0.587234116383427,0.6139324131623815,1449,1449,2147,2147,,5000,5000,1.0,3021694564,20260901
B1_spatial,top_tail_transition,top20,micro,background_removed_fraction,0.3041822388860736,0.2905478797993168,0.3179638383198349,1449,1449,2147,2147,,5000,5000,1.0,3021694564,20260901
B1_spatial,top_tail_transition,top20,macro_class,target_retained_fraction,0.6002404188022638,0.5863006227099338,0.6136398417607113,1449,1449,2147,2147,20,5000,5000,1.0,3021694564,20260901
B1_spatial,top_tail_transition,top20,macro_class,background_removed_fraction,0.3173987470570642,0.30298547313235985,0.3318355891875612,1449,1449,2147,2147,20,5000,5000,1.0,3021694564,20260901
B2_feature,suppression,background,micro,mean_score_delta_rs_minus_r,-0.09572345046387108,-0.09914088467079606,-0.09214793389029384,1432,1449,2120,2147,,5000,5000,1.0,3021694564,20260901
B2_feature,suppression,background,micro,mean_relative_suppression,0.4632336160765504,0.46190260821988854,0.4646415882856627,1432,1449,2120,2147,,5000,5000,1.0,3021694564,20260901
B2_feature,suppression,background,macro_class,mean_score_delta_rs_minus_r,-0.09857089523375187,-0.10149431350923875,-0.09558232793349082,1432,1449,2120,2147,20,5000,5000,1.0,3021694564,20260901
B2_feature,suppression,background,macro_class,mean_relative_suppression,0.46372089684413326,0.4624646953431898,0.46501185155560787,1432,1449,2120,2147,20,5000,5000,1.0,3021694564,20260901
B2_feature,suppression,fg_bg_boundary,micro,mean_score_delta_rs_minus_r,-0.20129679248334018,-0.20694358712969027,-0.19574099486598726,1432,1449,2128,2147,,5000,5000,1.0,3021694564,20260901
B2_feature,suppression,fg_bg_boundary,micro,mean_relative_suppression,0.5073903676654611,0.5052948118155544,0.5096187214243194,1432,1449,2128,2147,,5000,5000,1.0,3021694564,20260901
B2_feature,suppression,fg_bg_boundary,macro_class,mean_score_delta_rs_minus_r,-0.20549805098305943,-0.2107040717229441,-0.20039397845490364,1432,1449,2128,2147,20,5000,5000,1.0,3021694564,20260901
B2_feature,suppression,fg_bg_boundary,macro_class,mean_relative_suppression,0.5057164138168554,0.5036108263170828,0.5079455734132945,1432,1449,2128,2147,20,5000,5000,1.0,3021694564,20260901
B2_feature,suppression,other_foreground,micro,mean_score_delta_rs_minus_r,-0.0500362152325792,-0.055051420056056004,-0.045256052081666616,520,1449,1158,2147,,5000,5000,1.0,3021694564,20260901
B2_feature,suppression,other_foreground,micro,mean_relative_suppression,0.4892567513777596,0.4844991750560686,0.4940881664538135,520,1449,1158,2147,,5000,5000,1.0,3021694564,20260901
B2_feature,suppression,other_foreground,macro_class,mean_score_delta_rs_minus_r,-0.046270655642153914,-0.05379396155081181,-0.039720596493207916,520,1449,1158,2147,20,5000,5000,1.0,3021694564,20260901
B2_feature,suppression,other_foreground,macro_class,mean_relative_suppression,0.5095442492092253,0.4998742240583263,0.5207073405961923,520,1449,1158,2147,20,5000,5000,1.0,3021694564,20260901
B2_feature,suppression,target,micro,mean_score_delta_rs_minus_r,-0.35478537358529605,-0.36109043657535284,-0.3487914945667707,1441,1449,2031,2147,,5000,5000,1.0,3021694564,20260901
B2_feature,suppression,target,micro,mean_relative_suppression,0.5475285782096775,0.5432747341790847,0.5518456723397248,1441,1449,2031,2147,,5000,5000,1.0,3021694564,20260901
B2_feature,suppression,target,macro_class,mean_score_delta_rs_minus_r,-0.34609458210641597,-0.3525253302652553,-0.33974185750962704,1441,1449,2031,2147,20,5000,5000,1.0,3021694564,20260901
B2_feature,suppression,target,macro_class,mean_relative_suppression,0.5407314449631594,0.5365252102172241,0.5449507100930359,1441,1449,2031,2147,20,5000,5000,1.0,3021694564,20260901
B2_feature,suppression,target_boundary,micro,mean_score_delta_rs_minus_r,-0.33715389938786183,-0.34388167368307826,-0.3306729955534463,1432,1449,2021,2147,,5000,5000,1.0,3021694564,20260901
B2_feature,suppression,target_boundary,micro,mean_relative_suppression,0.5622776817827163,0.5581090532967969,0.5664203806910741,1432,1449,2021,2147,,5000,5000,1.0,3021694564,20260901
B2_feature,suppression,target_boundary,macro_class,mean_score_delta_rs_minus_r,-0.32884086079874686,-0.33560171817622136,-0.3221251168688486,1432,1449,2021,2147,20,5000,5000,1.0,3021694564,20260901
B2_feature,suppression,target_boundary,macro_class,mean_relative_suppression,0.5551236337851742,0.5509962867364744,0.55920215011859,1432,1449,2021,2147,20,5000,5000,1.0,3021694564,20260901
B2_feature,suppression,target_interior,micro,mean_score_delta_rs_minus_r,-0.3720683669468389,-0.3790214582843468,-0.36527736048527215,1399,1449,1850,2147,,5000,5000,1.0,3021694564,20260901
B2_feature,suppression,target_interior,micro,mean_relative_suppression,0.5326112889921343,0.5277795704425079,0.5374038547184719,1399,1449,1850,2147,,5000,5000,1.0,3021694564,20260901
B2_feature,suppression,target_interior,macro_class,mean_score_delta_rs_minus_r,-0.3636918563651652,-0.37111639626522674,-0.3564833108418201,1399,1449,1850,2147,20,5000,5000,1.0,3021694564,20260901
B2_feature,suppression,target_interior,macro_class,mean_relative_suppression,0.5291130432551966,0.5240206974606482,0.5343315405858438,1399,1449,1850,2147,20,5000,5000,1.0,3021694564,20260901
B2_feature,top_tail_transition,top05,micro,target_retained_fraction,0.2405413445580911,0.22880104476916358,0.25229080639890966,1449,1449,2147,2147,,5000,5000,1.0,3021694564,20260901
B2_feature,top_tail_transition,top05,micro,background_removed_fraction,0.2999105510482721,0.28307567813771123,0.31699412923531944,1449,1449,2147,2147,,5000,5000,1.0,3021694564,20260901
B2_feature,top_tail_transition,top05,macro_class,target_retained_fraction,0.23940995793392594,0.22672758829207282,0.25199593415225535,1449,1449,2147,2147,20,5000,5000,1.0,3021694564,20260901
B2_feature,top_tail_transition,top05,macro_class,background_removed_fraction,0.30576922628673875,0.28856355748201157,0.32335625399559903,1449,1449,2147,2147,20,5000,5000,1.0,3021694564,20260901
B2_feature,top_tail_transition,top10,micro,target_retained_fraction,0.4090346584982282,0.39588056938334665,0.4220301902906858,1449,1449,2147,2147,,5000,5000,1.0,3021694564,20260901
B2_feature,top_tail_transition,top10,micro,background_removed_fraction,0.32850431024826376,0.31246778521734236,0.3447587182978958,1449,1449,2147,2147,,5000,5000,1.0,3021694564,20260901
B2_feature,top_tail_transition,top10,macro_class,target_retained_fraction,0.4064137932992583,0.3926843954272446,0.42017243492609757,1449,1449,2147,2147,20,5000,5000,1.0,3021694564,20260901
B2_feature,top_tail_transition,top10,macro_class,background_removed_fraction,0.33814351896916467,0.32121046967882916,0.3550832695211003,1449,1449,2147,2147,20,5000,5000,1.0,3021694564,20260901
B2_feature,top_tail_transition,top20,micro,target_retained_fraction,0.6075384234834497,0.5939025882330178,0.6209564643410646,1449,1449,2147,2147,,5000,5000,1.0,3021694564,20260901
B2_feature,top_tail_transition,top20,micro,background_removed_fraction,0.3110146898157787,0.29706943165887123,0.3249430616358943,1449,1449,2147,2147,,5000,5000,1.0,3021694564,20260901
B2_feature,top_tail_transition,top20,macro_class,target_retained_fraction,0.6049815028252217,0.5911508466973557,0.6185317575307432,1449,1449,2147,2147,20,5000,5000,1.0,3021694564,20260901
B2_feature,top_tail_transition,top20,macro_class,background_removed_fraction,0.32281884204661243,0.30855107812657273,0.33741665658378645,1449,1449,2147,2147,20,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,suppression,background,micro,mean_score_delta_rs_minus_r,-0.09590021311570518,-0.09931515887994838,-0.09232723203625455,1432,1449,2120,2147,,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,suppression,background,micro,mean_relative_suppression,0.4635957991880066,0.4622631302468327,0.4650066639566461,1432,1449,2120,2147,,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,suppression,background,macro_class,mean_score_delta_rs_minus_r,-0.09876302768637443,-0.10170295772497695,-0.09576492209461455,1432,1449,2120,2147,20,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,suppression,background,macro_class,mean_relative_suppression,0.46410122017045186,0.4628610078595558,0.46538437616959094,1432,1449,2120,2147,20,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,suppression,fg_bg_boundary,micro,mean_score_delta_rs_minus_r,-0.20043311331125685,-0.20600059307442747,-0.19489738008054142,1432,1449,2128,2147,,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,suppression,fg_bg_boundary,micro,mean_relative_suppression,0.5059829799780496,0.5038946357010187,0.5081658969916379,1432,1449,2128,2147,,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,suppression,fg_bg_boundary,macro_class,mean_score_delta_rs_minus_r,-0.2046002661309645,-0.20979384641468032,-0.19952867323215892,1432,1449,2128,2147,20,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,suppression,fg_bg_boundary,macro_class,mean_relative_suppression,0.5042774368208197,0.5021897774348941,0.5064723293514706,1432,1449,2128,2147,20,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,suppression,other_foreground,micro,mean_score_delta_rs_minus_r,-0.04999043719877604,-0.05501500699249504,-0.045221194160122505,520,1449,1158,2147,,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,suppression,other_foreground,micro,mean_relative_suppression,0.48798888468783547,0.4833064498959638,0.49273210556591884,520,1449,1158,2147,,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,suppression,other_foreground,macro_class,mean_score_delta_rs_minus_r,-0.046085672434882305,-0.053570659806008135,-0.03959264242237087,520,1449,1158,2147,20,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,suppression,other_foreground,macro_class,mean_relative_suppression,0.5079638202301366,0.4984671296687825,0.5189173615586804,520,1449,1158,2147,20,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,suppression,target,micro,mean_score_delta_rs_minus_r,-0.3531157378156286,-0.35933587895912894,-0.34713481012349523,1441,1449,2031,2147,,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,suppression,target,micro,mean_relative_suppression,0.5454444453553107,0.5412179334956223,0.5497396680650927,1441,1449,2031,2147,,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,suppression,target,macro_class,mean_score_delta_rs_minus_r,-0.34440779205332445,-0.3507775286355936,-0.3381490018911129,1441,1449,2031,2147,20,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,suppression,target,macro_class,mean_relative_suppression,0.5385534195344321,0.5344516455537487,0.5427026740085766,1441,1449,2031,2147,20,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,suppression,target_boundary,micro,mean_score_delta_rs_minus_r,-0.3349895507413554,-0.34164319094641277,-0.328561355645768,1432,1449,2021,2147,,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,suppression,target_boundary,micro,mean_relative_suppression,0.5592715875132729,0.5551985222040096,0.5633202497624887,1432,1449,2021,2147,,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,suppression,target_boundary,macro_class,mean_score_delta_rs_minus_r,-0.32672762550286494,-0.3334504486085357,-0.32009642443085456,1432,1449,2021,2147,20,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,suppression,target_boundary,macro_class,mean_relative_suppression,0.5521348390054659,0.5480992878357662,0.5561759342935294,1432,1449,2021,2147,20,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,suppression,target_interior,micro,mean_score_delta_rs_minus_r,-0.37055622757458,-0.3774174803650846,-0.3638681870983289,1399,1449,1850,2147,,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,suppression,target_interior,micro,mean_relative_suppression,0.5311908363329397,0.5264079682905917,0.5359862888960859,1399,1449,1850,2147,,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,suppression,target_interior,macro_class,mean_score_delta_rs_minus_r,-0.3621331860018451,-0.36955981734005955,-0.3549561733010911,1399,1449,1850,2147,20,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,suppression,target_interior,macro_class,mean_relative_suppression,0.5275886777052539,0.5226118985216598,0.53268753846577,1399,1449,1850,2147,20,5000,5000,1.0,3021694564,20260901
