comparison,graph,stratum,aggregation,metric,estimate,ci_low,ci_high,num_images,num_images_total,num_rows,num_rows_total,num_classes,bootstrap_repeats,bootstrap_valid_repeats,bootstrap_valid_fraction,bootstrap_seed,bootstrap_base_seed
relevance_x_stability_minus_relevance,B1_spatial,all,micro,target_hit,-0.10060549604098742,-0.11762108967674662,-0.08426842805817117,1449,1449,2147,2147,,5000,5000,1.0,3021694564,20260901
relevance_x_stability_minus_relevance,B1_spatial,all,micro,target_tail_enrich_05,-2.20804438595286,-2.4021796943652514,-2.032113307123831,1441,1449,2031,2147,,5000,5000,1.0,3021694564,20260901
relevance_x_stability_minus_relevance,B1_spatial,all,micro,target_tail_enrich_10,-1.343012065704207,-1.4413657384749614,-1.2464789655545498,1441,1449,2031,2147,,5000,5000,1.0,3021694564,20260901
relevance_x_stability_minus_relevance,B1_spatial,all,micro,bg_tail_enrich_05,0.17016714722591425,0.15542791215457022,0.1835038990798987,1432,1449,2120,2147,,5000,5000,1.0,3021694564,20260901
relevance_x_stability_minus_relevance,B1_spatial,all,micro,auc_target_bg,-0.08269918570411332,-0.0870640517941689,-0.07857864320322054,1424,1449,2004,2147,,5000,5000,1.0,3021694564,20260901
relevance_x_stability_minus_relevance,B1_spatial,all,micro,auc_target_other,-0.03064254012693206,-0.036745094704931244,-0.025628179127040684,462,1449,1052,2147,,5000,5000,1.0,3021694564,20260901
relevance_x_stability_minus_relevance,B1_spatial,all,micro,ap_target_bg,-0.19120283776454303,-0.20171494860157974,-0.18079649247780946,1424,1449,2004,2147,,5000,5000,1.0,3021694564,20260901
relevance_x_stability_minus_relevance,B1_spatial,all,micro,ap_target_other,-0.06348008661432901,-0.07174124054553664,-0.05577633080024323,462,1449,1052,2147,,5000,5000,1.0,3021694564,20260901
relevance_x_stability_minus_relevance,B1_spatial,all,macro_class,target_hit,-0.09522622375339773,-0.11321422958672524,-0.07750972356719878,1449,1449,2147,2147,20,5000,5000,1.0,3021694564,20260901
relevance_x_stability_minus_relevance,B1_spatial,all,macro_class,target_tail_enrich_05,-2.1443612879696294,-2.3380942160703215,-1.9599950073173964,1441,1449,2031,2147,20,5000,5000,1.0,3021694564,20260901
relevance_x_stability_minus_relevance,B1_spatial,all,macro_class,target_tail_enrich_10,-1.3256998075936397,-1.4221654591335635,-1.2322253856685066,1441,1449,2031,2147,20,5000,5000,1.0,3021694564,20260901
relevance_x_stability_minus_relevance,B1_spatial,all,macro_class,bg_tail_enrich_05,0.16376732245465614,0.15281839737661065,0.17431887394010986,1432,1449,2120,2147,20,5000,5000,1.0,3021694564,20260901
